estado;clube_canonical;cidade;latitude;longitude;estadio
amapa;Lagoa;Macapá;0.0349;-51.0694;Estádio Milton de Souza Corrêa
amapa;Latitude Zero;Macapá;0.0349;-51.0694;Estádio Milton de Souza Corrêa
amapa;Mazagão Atlético Clube;Mazagão;-0.115;-51.3883;Estádio Milton de Souza Corrêa
amapa;Oratório Recreativo Clube;Macapá;0.0349;-51.0694;Estádio Milton de Souza Corrêa
amapa;Renovação Esporte Clube;Macapá;0.0349;-51.0694;Estádio Milton de Souza Corrêa
amapa;Santana Esporte Clube;Santana;-0.0558;-51.1794;Estádio Municipal de Santana
amapa;Santos-AP;Macapá;0.0349;-51.0694;Estádio Milton de Souza Corrêa
amapa;São José-AP;Macapá;0.0349;-51.0694;Estádio Milton de Souza Corrêa
amapa;São Paulo-AP;Macapá;0.0349;-51.0694;Estádio Milton de Souza Corrêa
amapa;Trem Desportivo Clube;Macapá;0.0349;-51.0694;Estádio Milton de Souza Corrêa
amapa;Ypiranga Clube;Macapá;0.0349;-51.0694;Estádio Milton de Souza Corrêa
amazonas;Alvorada Esporte Clube;Manaus;-3.119;-60.0217;Estádio Carlos Zamith
amazonas;Amazonas Futebol Clube;Manaus;-3.119;-60.0217;Arena da Amazônia
amazonas;Atlético Amazonense;Manaus;-3.119;-60.0217;Estádio Ismael Benigno
amazonas;Atlético Clube Tarumã;Manaus;-3.119;-60.0217;Estádio Ismael Benigno
amazonas;Atlético Rio Negro Clube;Manaus;-3.119;-60.0217;Estádio Ismael Benigno
amazonas;CDC Manicoré;Manacapuru;-3.2958;-60.6214;Estádio Gilberto Mestrinho
amazonas;Cliper;Manaus;-3.119;-60.0217;Estádio Ismael Benigno
amazonas;Iranduba da Amazônia;Iranduba;-3.2725;-60.1889;Estádio Álvaro Maranhão
amazonas;Itacoatiara Esporte Clube;Itacoatiara;-3.1431;-58.4442;Estádio Municipal Floro de Mendonça
amazonas;JC Futebol Clube;Itacoatiara;-3.1431;-58.4442;Estádio Municipal Floro de Mendonça
amazonas;Librade;Manaus;-3.119;-60.0217;Estádio Ismael Benigno
amazonas;Manauara Esporte Clube;Manaus;-3.119;-60.0217;Estádio Carlos Zamith
amazonas;Manaus Futebol Clube;Manaus;-3.119;-60.0217;Arena da Amazônia
amazonas;Nacional Fast Clube;Manaus;-3.119;-60.0217;Estádio Ismael Benigno
amazonas;Nacional Futebol Clube;Manaus;-3.119;-60.0217;Estádio Ismael Benigno
amazonas;Operário Esporte Clube;Manacapuru;-3.2964;-60.6214;Estádio Gilberto Mestrinho
amazonas;Parintins Futebol Clube;Parintins;-2.6283;-56.7397;Estádio Francisco Garcia
amazonas;Penarol Atlético Clube;Itacoatiara;-3.1431;-58.4442;Estádio Floro de Mendonça
amazonas;Princesa do Solimões Esporte Clube;Manacapuru;-3.2964;-60.6214;Estádio Gilberto Mestrinho
amazonas;Red Bull do Norte;Manaus;-3.119;-60.0217;Estádio Carlos Zamith
amazonas;Sete de Setembro Esporte Clube;Manaus;-3.119;-60.0217;Estádio Ismael Benigno
amazonas;Sul América Esporte Clube;Manaus;-3.119;-60.0217;Estádio Ismael Benigno
amazonas;São Raimundo Esporte Clube;Manaus;-3.119;-60.0217;Estádio Ismael Benigno
bahia;Associação Desportiva Bahia de Feira;Feira de Santana;-12.2669;-38.9669;Arena Cajueiro
bahia;Associação Desportiva Jequié;Jequié;-13.8583;-40.0811;Estádio Waldomiro Borges
bahia;Associação Desportivaatlética Feirense;Feira de Santana;-12.2667;-38.9667;Estádio Joia da Princesa
bahia;Atlético de Alagoinhas;Alagoinhas;-12.1394;-38.4217;Estádio Antônio Carneiro
bahia;Barcelona Futebol Clube;Ilhéus;-14.795;-39.0433;Estádio Mário Pessoa
bahia;Botafogo Sport Club;Salvador;-12.9714;-38.5014;Estádio de Pituaçu
bahia;Camaçari Futebol Clube;Camaçari;-12.6975;-38.3247;Estádio Armando Oliveira
bahia;Canaã Esporte Clube;Irecê;-11.3039;-41.8553;Estádio Municipal de Irecê
bahia;Colo Colo de Futebol e Regatas;Ilhéus;-14.7935;-39.0459;Estádio Mário Pessoa
bahia;Doce Mel Esporte Clube;Ipiaú;-14.1375;-39.7375;Estádio Pedro Caetano
bahia;Esporte Clube Bahia;Salvador;-12.9714;-38.5014;Arena Fonte Nova
bahia;Esporte Clube Jacuipense;Riachão do Jacuípe;-11.8053;-39.3786;Estádio Eliel Martins
bahia;Esporte Clube Leônico;Salvador;-12.9714;-38.5014;Estádio de Pituaçu
bahia;Esporte Clube Primeiro Passo Vitória da Conquista;Vitória da Conquista;-14.8614;-40.8392;Estádio Lomanto Júnior
bahia;Esporte Clube Vitória;Salvador;-12.9714;-38.5014;Estádio Manoel Barradas
bahia;Esporte Clube Ypiranga;Salvador;-12.9714;-38.5014;Estádio de Pituaçu
bahia;Flamengo de Guanambi;Guanambi;-14.2239;-42.7811;Estádio 2 de Julho
bahia;Fluminense de Feira Futebol Clube;Feira de Santana;-12.2667;-38.9667;Estádio Joia da Princesa
bahia;Galícia Esporte Clube;Salvador;-12.9714;-38.5014;Estádio de Pituaçu
bahia;Grapiúna Atlético Clube;Itabuna;-14.7892;-39.2797;Estádio Luiz Viana Filho
bahia;Itabuna Esporte Clube;Itabuna;-14.7892;-39.2797;Estádio Luiz Viana Filho
bahia;Jacobina Esporte Clube;Jacobina;-11.1825;-40.5086;Estádio José Rocha
bahia;Jacobinense Esporte Clube;Jacobina;-11.1825;-40.5086;Estádio José Rocha
bahia;Juazeiro Social Clube;Juazeiro;-9.4125;-40.5033;Estádio Adauto Moraes
bahia;Portela Futebol Clube;Paulo Afonso;-9.4033;-38.2206;Estádio Álvaro de Carvalho
bahia;Porto Sport Club;Porto Seguro;-16.4497;-39.0647;Estádio Municipal Agnaldo Bento dos Santos
bahia;SSA Futebol Clube;Salvador;-12.9714;-38.5014;Estádio de Pituaçu
bahia;Sociedade Desportiva Juazeirense;Juazeiro;-9.4125;-40.5033;Estádio Adauto Moraes
bahia;Sport Club Camaçariense;Camaçari;-12.6975;-38.3247;Estádio Armando Oliveira
bahia;UNIRB Futebol Clube;Alagoinhas;-12.1392;-38.4214;Estádio Carneirão
ceara;Aliança Atlético Clube;Horizonte;-4.1025;-38.5028;Estádio Domingão
ceara;Anjos do Céu;Fortaleza;-3.7319;-38.5267;Estádio Presidente Vargas
ceara;Arsenal de Caridade;Caridade;-4.2586;-39.1733;Estádio Municipal de Caridade
ceara;Associação Desportiva Iguatu;Iguatu;-6.3725;-39.3014;Estádio João Elmo Moreno Cavalcante
ceara;Associação Desportiva Recreativa Cultural Icasa;Juazeiro do Norte;-7.2133;-39.3153;Estádio Mauro Sampaio
ceara;Associação Esportiva Tiradentes;Fortaleza;-3.7172;-38.5433;Estádio Presidente Vargas
ceara;Atlético Cearense;Fortaleza;-3.7319;-38.5267;Estádio Presidente Vargas
ceara;Barbalha Futebol Clube;Barbalha;-7.3117;-39.3033;Estádio Lírio Callou
ceara;Calouros do Ar Futebol Clube;Fortaleza;-3.7319;-38.5267;Estádio Presidente Vargas
ceara;Campo Grande Esporte Clube;Juazeiro do Norte;-7.2297;-39.3225;Estádio Mauro Sampaio
ceara;Cariri Futebol Clube;Juazeiro do Norte;-7.2297;-39.3225;Estádio Mauro Sampaio
ceara;Caucaia Esporte Clube;Caucaia;-3.7361;-38.6531;Estádio Raimundo de Oliveira
ceara;Ceará Sporting Club;Fortaleza;-3.7319;-38.5267;Arena Castelão
ceara;Crateús Esporte Clube;Crateús;-5.1786;-40.6775;Estádio Municipal Helvídio Bezerra de Carvalho
ceara;Crato Esporte Clube;Crato;-7.2333;-39.4167;Estádio Municipal Governador Virgílio Távora
ceara;Esporte Limoeiro;Limoeiro do Norte;-5.1478;-38.0975;Estádio Municipal José Bandeira de Lavor
ceara;Ferroviário Atlético Clube;Fortaleza;-3.7172;-38.5433;Estádio Presidente Vargas
ceara;Floresta Esporte Clube;Fortaleza;-3.7172;-38.5433;Estádio Presidente Vargas
ceara;Fortaleza Esporte Clube;Fortaleza;-3.7172;-38.5433;Arena Castelão
ceara;Grêmio Pague Menos;Fortaleza;-3.7319;-38.5267;Estádio Presidente Vargas
ceara;Guarani de Juazeiro;Juazeiro do Norte;-7.2139;-39.3139;Estádio Mauro Sampaio
ceara;Guarany de Sobral;Sobral;-3.6828;-40.3528;Estádio Plácido Aderaldo Castelo
ceara;Horizonte Futebol Clube;Horizonte;-4.1036;-38.4986;Estádio Domingão
ceara;Itapipoca Esporte Clube;Itapipoca;-3.4917;-39.5758;Estádio Perilo Teixeira
ceara;Itarema Esporte Clube;Itarema;-2.9258;-39.9136;Estádio Dedezão
ceara;Maracanã Esporte Clube;Maracanaú;-3.8775;-38.6236;Estádio Municipal Raimundo de Oliveira
ceara;Maranguape Futebol Clube;Maranguape;-3.8867;-38.6717;Estádio Francisco Cardoso de Moraes
ceara;Pacajus Esporte Clube;Pacajus;-4.1758;-38.4728;Estádio João Ronaldo
ceara;Pacatuba Esporte Clube;Pacatuba;-3.9833;-38.6211;Estádio Municipal de Pacatuba
ceara;Quixadá Futebol Clube;Quixadá;-4.9711;-39.0153;Estádio Abilhão
ceara;Terra e Mar Clube;Fortaleza;-3.7172;-38.5433;Estádio Presidente Vargas
ceara;Tianguá Esporte Clube;Tianguá;-3.7333;-40.9722;Estádio Municipal Tancredo Neves
ceara;Tirol;Fortaleza;-3.71722;-38.54333;Estádio Presidente Vargas
ceara;União;Fortaleza;-3.71722;-38.54333;Estádio Presidente Vargas
ceara;Vila Real;Fortaleza;-3.71722;-38.54333;Estádio Presidente Vargas
distrito_federal;ARUC;Brasília;-15.77972;-47.92972;Estádio Defelê
distrito_federal;Associação Atlética Brazlândia;Brazlândia;-15.6736;-48.2036;Estádio Chapadinha
distrito_federal;Bolamense;Samambaia;-15.88583;-48.05389;Estádio Rorizão
distrito_federal;Brasiliense;Taguatinga;-15.82667;-48.06083;Estádio Serejão
distrito_federal;Brasília Futebol Clube;Brasília;-15.7939;-47.8828;Estádio Nacional de Brasília Mané Garrincha
distrito_federal;Canaã Esporte Clube;Paranoá;-15.7733;-47.7619;Estádio JK
distrito_federal;Candango Futebol Clube;Brasília;-15.7939;-47.8828;Estádio Nacional de Brasília Mané Garrincha
distrito_federal;Capital Clube de Futebol;Brasília;-15.7939;-47.8828;Estádio JK
distrito_federal;Ceilândia Esporte Clube;Ceilândia;-15.8267;-48.1033;Estádio Maria de Lourdes Abadia
distrito_federal;Clube Esporte Ceilandense;Ceilândia;-15.8267;-48.1033;Estádio Maria de Lourdes Abadia
distrito_federal;Cruzeiro Esporte Clube;Cruzeiro;-15.7939;-47.9575;Estádio Nacional de Brasília Mané Garrincha
distrito_federal;Legião Futebol Clube;Brasília;-15.7939;-47.8828;Estádio Nacional de Brasília Mané Garrincha
distrito_federal;Paranoá Esporte Clube;Paranoá;-15.8111;-47.7333;Estádio JK
distrito_federal;Planaltina Esporte Clube;Planaltina;-15.6236;-47.6733;Estádio Adonir Guimarães
distrito_federal;Real Brasília Futebol Clube;Brasília;-15.7939;-47.8828;Estádio Defelê
distrito_federal;Riacho City Futebol Clube;Riacho Fundo;-15.8833;-48.0167;Estádio Rorizão
distrito_federal;SESP Samambaense;Samambaia;-15.8786;-48.0506;Estádio Rorizão
distrito_federal;Samambaia Futebol Clube;Samambaia;-15.8786;-48.0506;Estádio Rorizão
distrito_federal;Sobradinho Esporte Clube;Sobradinho;-15.6533;-47.7975;Estádio Augustinho Lima
distrito_federal;Sociedade Esportiva Santa Maria;Santa Maria;-15.9967;-48.0267;Estádio Serra do Lago
distrito_federal;Sociedade Esportiva do Gama;Gama;-16.0153;-48.0653;Estádio Walmir Campelo Bezerra
distrito_federal;Taguatinga Esporte Clube;Taguatinga;-15.8267;-48.0619;Estádio Elmo Serejo Farias
espirito_santo;Associação Atlética São Mateus;São Mateus;-18.7153;-39.8589;Estádio Sernamby
espirito_santo;Aster Brasil Futebol Clube;Vitória;-20.3155;-40.3128;Estádio Kleber Andrade
espirito_santo;Atlético Itapemirim;Itapemirim;-20.8433;-40.8356;Estádio José Olívio Soares
espirito_santo;CTE Colatina;Colatina;-19.5386;-40.6275;Estádio Justiniano de Melo e Silva
espirito_santo;Capixaba Sporting Club;Vitória;-20.3155;-40.3128;Estádio Kleber Andrade
espirito_santo;Castelo Futebol Clube;Castelo;-20.6025;-41.1833;Estádio Emílio Nemer
espirito_santo;Desportiva Ferroviária;Cariacica;-20.3261;-40.4217;Estádio Engenheiro Araripe
espirito_santo;Estrela do Norte;Cachoeiro de Itapemirim;-20.8475;-41.1119;Estádio Mário Monteiro
espirito_santo;Forte;Vitória;-20.3155;-40.3128;Estádio Salvador Costa
espirito_santo;GEL;Serra;-20.2417;-40.3375;Estádio Robertão
espirito_santo;Gálatas;Vitória;-20.3155;-40.3128;Estádio Salvador Costa
espirito_santo;Jaguaré Esporte Clube;Jaguaré;-18.9056;-40.0817;Estádio Conilon
espirito_santo;Linhares Futebol Clube;Linhares;-19.3911;-40.0722;Estádio Joaquim Calmon
espirito_santo;Nova Venécia Futebol Clube;Nova Venécia;-18.7056;-40.3933;Estádio Zenor Pedrosa Rocha
espirito_santo;Pinheiros Futebol Clube;Pinheiros;-18.4033;-40.2333;Estádio João Soares de Moura Filho
espirito_santo;Porto Vitória Futebol Clube;Vitória;-20.3155;-40.3128;Estádio Kleber Andrade
espirito_santo;Real Noroeste Capixaba Futebol Clube;Águia Branca;-18.9817;-40.7333;Estádio José Olímpio da Rocha
espirito_santo;Rio Branco Atlético Clube;Vitória;-20.3155;-40.3128;Estádio Kleber Andrade
espirito_santo;Rio Branco de Venda Nova;Venda Nova do Imigrante;-20.3225;-41.1353;Estádio Olímpio Perim
espirito_santo;Serra Futebol Clube;Serra;-20.2417;-40.3083;Estádio Robertão
espirito_santo;Sport Clube Capixaba;Serra;-20.2417;-40.3083;Estádio Robertão
espirito_santo;Tupy Futebol Clube;Vila Velha;-20.3297;-40.2925;Estádio Gil Bernardes
espirito_santo;Vilavelhense Futebol Clube;Vila Velha;-20.3297;-40.2925;Estádio Kleber Andrade
espirito_santo;Vitória Futebol Clube;Vitória;-20.3155;-40.3128;Estádio Salvador Costa
goias;Abecat Ouvidorense;Ouvidor;-18.1558;-47.8667;Estádio Luiz Benedito
goias;América Futebol Clube;Morrinhos;-17.7317;-49.1022;Estádio João Vilela
goias;Anápolis Futebol Clube;Anápolis;-16.3286;-48.9533;Estádio Jonas Duarte
goias;Aparecida Esporte Clube;Aparecida de Goiânia;-16.8233;-49.2442;Estádio Annibal Batista de Toledo
goias;Associação Atlética Anapolina;Anápolis;-16.3286;-48.9533;Estádio Jonas Duarte
goias;Associação Atlética Aparecidense;Aparecida de Goiânia;-16.8233;-49.2442;Estádio Annibal Batista de Toledo
goias;Associação Atlética Jataiense;Jataí;-17.8814;-51.7142;Estádio Municipal Nelson Antônio da Silva
goias;Associação Atlética Luziânia;Luziânia;-16.2514;-47.9514;Estádio Municipal Zequinha Roriz
goias;Associação Beneficente e Desportiva;Goiânia;-16.6869;-49.2648;Estádio Olímpico Pedro Ludovico
goias;Associação Esportiva Evangélica;Paraúna;-16.9458;-50.4667;Estádio José Pereira de Souza
goias;Associação Esportiva Rioverdense;Rio Verde;-17.7919;-50.9244;Estádio Mozart Veloso do Carmo
goias;Atlético Clube Goianiense;Goiânia;-16.6869;-49.2648;Estádio Antônio Accioly
goias;Bela Vista Futebol Clube;Bela Vista de Goiás;-16.9753;-48.9556;Estádio Geraldo Felipe
goias;Bom Jesus Esporte Clube;Bom Jesus de Goiás;-17.9256;-49.6736;Estádio Gilmar Alves
goias;Bosque Formosa Esporte Clube;Formosa;-15.5389;-47.3356;Estádio Diogão
goias;Botafogo Futebol Clube;Cristalina;-16.7689;-47.6125;Estádio Municipal Salvador Amado
goias;Centro Oeste Futebol Clube;Senador Canedo;-16.7036;-49.0953;Estádio Plínio José de Souza
goias;Cerrado Esporte Clube;Aparecida de Goiânia;-16.8225;-49.2436;Estádio Annibal Batista de Toledo
goias;Clube Recreativo e Atlético Catalano;Catalão;-18.1636;-47.9458;Estádio Genervino da Fonseca
goias;Crixás Esporte Clube;Crixás;-14.5467;-49.9733;Estádio Genervino da Fonseca
goias;Esporte Clube Rio Verde;Rio Verde;-17.7919;-50.9244;Estádio Mozart Veloso do Carmo
goias;Goianésia Esporte Clube;Goianésia;-15.3167;-49.1256;Estádio Valdeir José de Oliveira
goias;Goiatuba Esporte Clube;Goiatuba;-18.0158;-49.3553;Estádio Divino Garcia Rosa
goias;Goiás Esporte Clube;Goiânia;-16.6869;-49.2647;Estádio Hailé Pinheiro
goias;Goiânia Esporte Clube;Goiânia;-16.6869;-49.2647;Estádio Olímpico Pedro Ludovico Teixeira
goias;Grêmio Anápolis;Anápolis;-16.3286;-48.9533;Estádio Jonas Duarte
goias;Grêmio Valparaíso;Valparaíso de Goiás;-16.0636;-47.9753;Estádio Municipal de Valparaíso
goias;Guanabara City;Goiânia;-16.6869;-49.2648;Estádio Olímpico Pedro Ludovico
goias;Independente de Rio Verde;Rio Verde;-17.7919;-50.9239;Estádio Mozart Veloso do Carmo
goias;Inhumas;Inhumas;-16.3636;-49.5058;Estádio Zico Brandão
goias;Iporá;Iporá;-16.4417;-51.1172;Estádio Francisco José Ferreira
goias;Itaberaí Esporte Clube;Itaberaí;-16.0186;-49.8153;Estádio Rio das Pedras
goias;Itumbiara Esporte Clube;Itumbiara;-18.4186;-49.2186;Estádio Municipal João Martins
goias;Jaraguá Esporte Clube;Jaraguá;-15.7564;-49.3356;Estádio Amintas de Freitas
goias;Mineiros Esporte Clube;Mineiros;-17.5675;-52.5511;Estádio Odilon Flores
goias;Monte Cristo Esporte Clube;Goiânia;-16.6809;-49.2533;Estádio Olímpico Pedro Ludovico
goias;Morrinhos Futebol Clube;Morrinhos;-17.7317;-49.1025;Estádio João Vilela
goias;Pires do Rio Futebol Clube;Pires do Rio;-17.2997;-48.2897;Estádio Edson Monteiro de Godoy
goias;Royal Esporte Clube;Senador Canedo;-16.7036;-49.0953;Estádio Plínio José de Souza
goias;Santa Helena Esporte Clube;Santa Helena de Goiás;-17.8208;-50.5975;Estádio Pedro Romualdo Cabral
goias;Trindade Atlético Clube;Trindade;-16.6486;-49.4889;Estádio Abrão Manoel da Costa
goias;Tupy de Jussara;Jussara;-15.8653;-50.8753;Estádio Geraldo Rodrigues
goias;União Inhumas Esporte Clube;Inhumas;-16.3658;-49.5067;Estádio Zico Brandão
goias;Uruaçu Futebol Clube;Uruaçu;-14.5225;-49.1417;Estádio Serra Grande
goias;Vila Nova Futebol Clube;Goiânia;-16.6799;-49.255;Estádio Onésio Brasileiro Alvarenga
maranhao;Americano Futebol Clube;São Luís;-2.5307;-44.3068;Estádio Nhozinho Santos
maranhao;Araioses Futebol Clube;Araioses;-2.8917;-41.9008;Estádio Cardosão
maranhao;Atlético Bacabal Esporte Clube;Bacabal;-4.2264;-44.7819;Estádio José Corrêa
maranhao;Bacabal Esporte Clube;Bacabal;-4.2264;-44.7819;Estádio José Corrêa
maranhao;Balsas Esporte Clube;Balsas;-7.5333;-46.0333;Estádio Cássio Reis
maranhao;Chapadinha Futebol Clube;Chapadinha;-3.7417;-43.3533;Estádio Lucídio Frazão
maranhao;Cordino Esporte Clube;Barra do Corda;-5.5019;-45.2506;Estádio Municipal Leandro Cláudio da Silva
maranhao;Expressinho Futebol Clube;São Luís;-2.5307;-44.3068;Estádio Governador João Castelo
maranhao;IAPE;São Luís;-2.5307;-44.3068;Estádio Governador João Castelo
maranhao;ITZ Sport;Imperatriz;-5.5264;-47.4917;Estádio Frei Epifânio D'Abadia
maranhao;Lago Verde Esporte Clube;Lago Verde;-3.58333;-45.1667;Estádio Municipal de Lago Verde
maranhao;Luminense Futebol Clube;São Luís;-2.53073;-44.3068;Estádio Governador João Castelo
maranhao;Maranhão Atlético Clube;São Luís;-2.53073;-44.3068;Estádio Governador João Castelo
maranhao;Moto Club de São Luís;São Luís;-2.53073;-44.3068;Estádio Governador João Castelo
maranhao;Pinheiro Atlético Clube;Pinheiro;-2.52139;-45.0825;Estádio Municipal Costa Rodrigues
maranhao;Sabiá Futebol Clube;Caxias;-4.86722;-43.3553;Estádio Municipal Duque de Caxias
maranhao;Sampaio Corrêa Futebol Clube;São Luís;-2.5307;-44.3068;Estádio Governador João Castelo
maranhao;Sociedade Esportiva Juventude;São Mateus do Maranhão;-4.0333;-44.95;Estádio Pinheirão
maranhao;Sociedade Esportiva São José;São José de Ribamar;-2.5617;-44.0583;Estádio Municipal Dário Santos
maranhao;Sociedade Imperatriz de Desportos;Imperatriz;-5.5264;-47.4917;Estádio Frei Epifânio D'Abadia
maranhao;São Luís Futebol Clube;São Luís;-2.5307;-44.3068;Estádio Governador João Castelo
maranhao;Tuntum Esporte Clube;Tuntum;-5.2533;-44.6597;Estádio Rafael Seabra
maranhao;Tupan Atlético Clube;São Luís;-2.5307;-44.3068;Estádio Governador João Castelo
maranhao;Viana Esporte Clube;Viana;-3.2233;-45.0019;Estádio Daniel Filho
mato_grosso;ARAGUAIA;Barra do Garças;-15.8917;-52.2594;Estádio Municipal José Valeriano Costa
mato_grosso;Academia Futebol Clube;Rondonópolis;-16.4677;-54.6351;Estádio Municipal Engenheiro Luthero Lopes
mato_grosso;Ação Futebol;Cuiabá;-15.6014;-56.0979;Arena Pantanal
mato_grosso;Cacerense Esporte Clube;Cáceres;-16.0717;-57.6764;Estádio Geraldão
mato_grosso;Campo Novo Esporte Clube;Campo Novo do Parecis;-13.6736;-57.8864;Estádio Ari Tomazelli
mato_grosso;Chapada Futebol Clube;Chapada dos Guimarães;-15.4606;-55.7497;Estádio Municipal de Chapada dos Guimarães
mato_grosso;Clube Atlético Matogrossense;Cuiabá;-15.6014;-56.0979;Arena Pantanal
mato_grosso;Clube Esportivo Dom Bosco;Cuiabá;-15.601;-56.0974;Arena Pantanal
mato_grosso;Clube Esportivo Operário Várzea-Grandense;Várzea Grande;-15.6536;-56.1333;Arena Pantanal
mato_grosso;Cuiabá Esporte Clube;Cuiabá;-15.601;-56.0974;Arena Pantanal
mato_grosso;Cáceres Esporte Clube;Cáceres;-16.0708;-57.675;Estádio Geraldão
mato_grosso;Juara Atlético Clube;Juara;-11.2619;-57.5358;Estádio Municipal Danilo Pagot
mato_grosso;Luverdense Esporte Clube;Lucas do Rio Verde;-12.6058;-55.9192;Estádio Municipal Passo das Emas
mato_grosso;Mixto Esporte Clube;Cuiabá;-15.5961;-56.0969;Arena Pantanal
mato_grosso;Nova Mutum Esporte Clube;Nova Mutum;-13.8294;-56.0814;Estádio Municipal Valdir Doilho Wons
mato_grosso;Operário Várzea-Grandense;Várzea Grande;-15.6536;-56.1333;Arena Pantanal
mato_grosso;Paulistano Esporte Clube;Cuiabá;-15.5961;-56.0969;Arena Pantanal
mato_grosso;Poconé Esporte Clube;Poconé;-16.2567;-56.6228;Estádio Municipal Neco Falcão
mato_grosso;Primavera Atlético Clube;Primavera do Leste;-15.5583;-54.2958;Estádio Municipal Cerradão
mato_grosso;Rondonópolis Esporte Clube;Rondonópolis;-16.4683;-54.6358;Estádio Municipal Engenheiro Luthero Lopes
mato_grosso;Santa Cruz Esporte Clube;Barra do Bugres;-15.0756;-57.1819;Estádio Municipal Lamartine Ribeiro de Sales
mato_grosso;Sinop Futebol Clube;Sinop;-11.8536;-55.5033;Estádio Municipal Gigante do Norte
mato_grosso;Sorriso Esporte Clube;Sorriso;-12.5453;-55.7147;Estádio Municipal Egídio José Preima
mato_grosso;Sport Sinop;Sinop;-11.8536;-55.5033;Estádio Municipal Gigante do Norte
mato_grosso;Uirapuru Esporte Clube;Cuiabá;-15.601;-56.0979;Arena Pantanal
