estado;clube;clube_canonical
ceara;ANJOS DO CÉU;Anjos do Céu
ceara;ARSENAL CARIDADE;Arsenal de Caridade
ceara;ATLÉTICO;Atlético Cearense
ceara;ATLÉTICO CEARENSE;Atlético Cearense
ceara;BARBALHA;Barbalha Futebol Clube
ceara;CALOUROS DO AR;Calouros do Ar Futebol Clube
ceara;CAMPO GRANDE;Campo Grande Esporte Clube
ceara;CARIRI;Cariri Futebol Clube
ceara;CAUCAIA;Caucaia Esporte Clube
ceara;CEARÁ;Ceará Sporting Club
ceara;CEARÁ B;Ceará Sporting Club
ceara;CRATEÚS;Crateús Esporte Clube
ceara;CRATO;Crato Esporte Clube
ceara;ESPORTE LIMOEIRO;Esporte Limoeiro
ceara;FERROVIÁRIO;Ferroviário Atlético Clube
ceara;FLORESTA;Floresta Esporte Clube
ceara;FORTALEZA;Fortaleza Esporte Clube
ceara;FORTALEZA B;Fortaleza Esporte Clube
ceara;GRÊMIO PAGUE MENOS;Grêmio Pague Menos
ceara;GUARANI DE JUAZEIRO;Guarani de Juazeiro
ceara;GUARANY;Guarany de Sobral
ceara;GUARANY DE SOBRAL;Guarany de Sobral
ceara;HORIZONTE;Horizonte Futebol Clube
ceara;ICASA;Associação Desportiva Recreativa Cultural Icasa
ceara;IGUATU;Associação Desportiva Iguatu
ceara;ITAPIPOCA;Itapipoca Esporte Clube
ceara;ITAREMA;Itarema Esporte Clube
ceara;MARACANÃ;Maracanã Esporte Clube
ceara;MARANGUAPE;Maranguape Futebol Clube
ceara;PACAJUS;Pacajus Esporte Clube
ceara;PACATUBA;Pacatuba Esporte Clube
ceara;QUIXADÁ;Quixadá Futebol Clube
ceara;TERRA E MAR;Terra e Mar Clube
ceara;TIANGUÁ;Tianguá Esporte Clube
ceara;TIRADENTES;Associação Esportiva Tiradentes
ceara;TIROL;Tirol
ceara;UNIÃO;União
ceara;VILA REAL;Vila Real
distrito_federal;ARUC;ARUC
distrito_federal;BOLAMENSE;Bolamense
distrito_federal;BRASILIENSE;Brasiliense
distrito_federal;BRASÍLIA;Brasília Futebol Clube
distrito_federal;BRAZLÂNDIA;Associação Atlética Brazlândia
distrito_federal;CANAÃ;Canaã Esporte Clube
distrito_federal;CANDANGO;Candango Futebol Clube
distrito_federal;CAPITAL;Capital Clube de Futebol
distrito_federal;CAPITAL CF;Capital Clube de Futebol
distrito_federal;CEILANDENSE;Clube Esporte Ceilandense
distrito_federal;CEILÂNDIA;Ceilândia Esporte Clube
distrito_federal;CRUZEIRO;Cruzeiro Esporte Clube
distrito_federal;GAMA;Sociedade Esportiva do Gama
distrito_federal;LEGIÃO;Legião Futebol Clube
distrito_federal;PARANOÁ;Paranoá Esporte Clube
distrito_federal;PLANALTINA;Planaltina Esporte Clube
distrito_federal;REAL BRASÍLIA;Real Brasília Futebol Clube
distrito_federal;RIACHO CITY;Riacho City Futebol Clube
distrito_federal;SAMAMBAIA;Samambaia Futebol Clube
distrito_federal;SANTA MARIA;Sociedade Esportiva Santa Maria
distrito_federal;SESP SAMAMBAENSE;SESP Samambaense
distrito_federal;SOBRADINHO;Sobradinho Esporte Clube
distrito_federal;TAGUATINGA;Taguatinga Esporte Clube
espirito_santo;ASTER BRASIL;Aster Brasil Futebol Clube
espirito_santo;AT. ITAPEMIRIM;Atlético Itapemirim
espirito_santo;CAPIXABA;Capixaba Sporting Club
espirito_santo;CASTELO;Castelo Futebol Clube
espirito_santo;CTE COLATINA;CTE Colatina
espirito_santo;DESPORTIVA FERROVIÁRIA;Desportiva Ferroviária
espirito_santo;ESTRELA DO NORTE;Estrela do Norte
espirito_santo;FORTE;Forte
espirito_santo;GEL;GEL
espirito_santo;GÁLATAS;Gálatas
espirito_santo;JAGUARÉ;Jaguaré Esporte Clube
espirito_santo;LINHARES;Linhares Futebol Clube
espirito_santo;NOVA VENÉCIA;Nova Venécia Futebol Clube
espirito_santo;PINHEIROS;Pinheiros Futebol Clube
espirito_santo;PORTO VITÓRIA;Porto Vitória Futebol Clube
espirito_santo;REAL NOROESTE;Real Noroeste Capixaba Futebol Clube
espirito_santo;RIO BRANCO;Rio Branco Atlético Clube
espirito_santo;RIO BRANCO - VN;Rio Branco de Venda Nova
espirito_santo;RIO BRANCO DE VENDA NOVA;Rio Branco de Venda Nova
espirito_santo;SERRA;Serra Futebol Clube
espirito_santo;SPORT CAPIXABA;Sport Clube Capixaba
espirito_santo;SÃO MATEUS;Associação Atlética São Mateus
espirito_santo;TUPY;Tupy Futebol Clube
espirito_santo;VILAVELHENSE;Vilavelhense Futebol Clube
espirito_santo;VITÓRIA;Vitória Futebol Clube
goias;ABD;Associação Beneficente e Desportiva
goias;ABECAT OUVIDORENSE;Abecat Ouvidorense
goias;AMÉRICA;América Futebol Clube
goias;ANAPOLINA;Associação Atlética Anapolina
goias;ANÁPOLIS;Anápolis Futebol Clube
goias;APARECIDA;Aparecida Esporte Clube
goias;APARECIDENSE;Associação Atlética Aparecidense
goias;ASEEV;Associação Esportiva Evangélica
goias;ATLÉTICO GOIANIENSE;Atlético Clube Goianiense
goias;BELA VISTA;Bela Vista Futebol Clube
goias;BOM JESUS;Bom Jesus Esporte Clube
goias;BOTAFOGO;Botafogo Futebol Clube
goias;CENTRO OESTE;Centro Oeste Futebol Clube
goias;CERRADO;Cerrado Esporte Clube
goias;CRAC;Clube Recreativo e Atlético Catalano
goias;CRIXÁS;Crixás Esporte Clube
goias;FORMOSA;Bosque Formosa Esporte Clube
goias;GOIANÉSIA;Goianésia Esporte Clube
goias;GOIATUBA;Goiatuba Esporte Clube
goias;GOIÁS;Goiás Esporte Clube
goias;GOIÂNIA;Goiânia Esporte Clube
goias;GRÊMIO ANÁPOLIS;Grêmio Anápolis
goias;GRÊMIO VALPARAÍSO;Grêmio Valparaíso
goias;GUANABARA CITY;Guanabara City
goias;INDEPENDENTE DE RIO VERDE;Independente de Rio Verde
goias;INHUMAS;Inhumas
goias;IPORÁ;Iporá
goias;ITABERAÍ;Itaberaí Esporte Clube
goias;ITUMBIARA;Itumbiara Esporte Clube
goias;JARAGUÁ;Jaraguá Esporte Clube
goias;JATAIENSE;Associação Atlética Jataiense
goias;LUZIÂNIA;Associação Atlética Luziânia
goias;MINEIROS;Mineiros Esporte Clube
goias;MONTE CRISTO;Monte Cristo Esporte Clube
goias;MORRINHOS;Morrinhos Futebol Clube
goias;PIRES DO RIO;Pires do Rio Futebol Clube
goias;RIO VERDE;Esporte Clube Rio Verde
goias;RIOVERDENSE;Associação Esportiva Rioverdense
goias;ROYAL;Royal Esporte Clube
goias;SANTA HELENA;Santa Helena Esporte Clube
goias;TRINDADE;Trindade Atlético Clube
goias;TUPY;Tupy de Jussara
goias;UNIÃO INHUMAS;União Inhumas Esporte Clube
goias;URUAÇU;Uruaçu Futebol Clube
goias;VILA NOVA;Vila Nova Futebol Clube
maranhao;AMERICANO;Americano Futebol Clube
maranhao;ARAIOSES;Araioses Futebol Clube
maranhao;ATLÉTICO BACABAL;Atlético Bacabal Esporte Clube
maranhao;BACABAL;Bacabal Esporte Clube
maranhao;BALSAS;Balsas Esporte Clube
maranhao;CHAPADINHA;Chapadinha Futebol Clube
maranhao;CORDINO;Cordino Esporte Clube
maranhao;EXPRESSINHO;Expressinho Futebol Clube
maranhao;IAPE;IAPE
maranhao;IMPERATRIZ;Sociedade Imperatriz de Desportos
maranhao;ITZ SPORT;ITZ Sport
maranhao;JUVENTUDE;Sociedade Esportiva Juventude
maranhao;LAGO VERDE;Lago Verde Esporte Clube
maranhao;LUMINENSE;Luminense Futebol Clube
maranhao;MARANHÃO;Maranhão Atlético Clube
maranhao;MOTO CLUB;Moto Club de São Luís
maranhao;PINHEIRO;Pinheiro Atlético Clube
maranhao;SABIÁ;Sabiá Futebol Clube
maranhao;SAMPAIO CORRÊA;Sampaio Corrêa Futebol Clube
maranhao;SÃO JOSÉ;Sociedade Esportiva São José
maranhao;SÃO LUÍS;São Luís Futebol Clube
maranhao;TUNTUM;Tuntum Esporte Clube
maranhao;TUPAN;Tupan Atlético Clube
maranhao;VIANA;Viana Esporte Clube
mato_grosso;ACADEMIA;Academia Futebol Clube
mato_grosso;ARAGUAIA;ARAGUAIA
mato_grosso;ATLÉTICO;Clube Atlético Matogrossense
mato_grosso;AÇÃO;Ação Futebol
mato_grosso;CACERENSE;Cacerense Esporte Clube
mato_grosso;CAMPO NOVO;Campo Novo Esporte Clube
mato_grosso;CEOV OPERÁRIO;Clube Esportivo Operário Várzea-Grandense
mato_grosso;CHAPADA;Chapada Futebol Clube
mato_grosso;CUIABÁ;Cuiabá Esporte Clube
mato_grosso;CUIABÁ B;Cuiabá Esporte Clube
mato_grosso;CÁCERES;Cáceres Esporte Clube
mato_grosso;DOM BOSCO;Clube Esportivo Dom Bosco
mato_grosso;JUARA;Juara Atlético Clube
mato_grosso;LUVERDENSE;Luverdense Esporte Clube
mato_grosso;MIXTO;Mixto Esporte Clube
mato_grosso;MUTUM;Nova Mutum Esporte Clube
mato_grosso;NOVA MUTUM;Nova Mutum Esporte Clube
mato_grosso;OPERÁRIO;Clube Esportivo Operário Várzea-Grandense
mato_grosso;OPERÁRIO CEOV;Operário Várzea-Grandense
mato_grosso;PAULISTANO;Paulistano Esporte Clube
mato_grosso;POCONÉ;Poconé Esporte Clube
mato_grosso;PRIMAVERA;Primavera Atlético Clube
mato_grosso;RONDONÓPOLIS;Rondonópolis Esporte Clube
mato_grosso;SANTA CRUZ;Santa Cruz Esporte Clube
mato_grosso;SINOP;Sinop Futebol Clube
mato_grosso;SORRISO;Sorriso Esporte Clube
mato_grosso;SPORT SINOP;Sport Sinop
mato_grosso;UIRAPURU;Uirapuru Esporte Clube
mato_grosso;UNIÃO DE RONDONÓPOLIS;União Esporte Clube
mato_grosso;UNIÃO RONDONÓPOLIS;União Esporte Clube
mato_grosso_do_sul;7 DE SETEMBRO;7 de Setembro
mato_grosso_do_sul;AQUIDAUANENSE;Aquidauanense
mato_grosso_do_sul;BATAGUASSU;Bataguassu
mato_grosso_do_sul;CEART;Ceart
mato_grosso_do_sul;COMERCIAL;Comercial
mato_grosso_do_sul;COMERCIAL DE TRÊS LAGOAS;Comercial de Três Lagoas
mato_grosso_do_sul;CORUMBAENSE;Corumbaense Futebol Clube
mato_grosso_do_sul;COSTA RICA;Costa Rica Esporte Clube
mato_grosso_do_sul;COXIM;Coxim Atlético Clube
mato_grosso_do_sul;CR AQUIDAUANA;Aquidauanense Futebol Clube
mato_grosso_do_sul;DOURADOS;Dourados Atlético Clube
mato_grosso_do_sul;IVINHEMA;Ivinhema Futebol Clube
mato_grosso_do_sul;MARACAJU;Maracaju Atlético Clube
mato_grosso_do_sul;MISTO;Misto Esporte Clube
mato_grosso_do_sul;MORENINHAS;Esporte Clube Moreninhas
mato_grosso_do_sul;NAVIRAIENSE;Clube Esportivo Naviraiense
mato_grosso_do_sul;NOVA ANDRADINA;Sociedade Esportiva Nova Andradina
mato_grosso_do_sul;NOVOPERÁRIO;Novoperário Futebol Clube
mato_grosso_do_sul;NÁUTICO;Clube Náutico Futebol Clube
mato_grosso_do_sul;OPERÁRIO;Operário Futebol Clube
mato_grosso_do_sul;PANTANAL;Pantanal Futebol Clube
mato_grosso_do_sul;PONTAPORANENSE;Clube Esportivo Pontaporanense
mato_grosso_do_sul;PORTUGUESA;Associação Atlética Portuguesa
mato_grosso_do_sul;SERC;Sociedade Esportiva e Recreativa Chapadão
mato_grosso_do_sul;SÃO GABRIEL;Sociedade Esportiva São Gabriel
mato_grosso_do_sul;TAVEIRÓPOLIS;Esporte Clube Taveirópolis
mato_grosso_do_sul;TRÊS LAGOAS;Três Lagoas Sport Club
mato_grosso_do_sul;UNIÃO;União Futebol Clube
mato_grosso_do_sul;ÁGUIA NEGRA;Esporte Clube Águia Negra
minas_gerais;AE PARACATU;Paracatu Futebol Clube
minas_gerais;AMÉRICA MINEIRO;América Futebol Clube
minas_gerais;AMÉRICA T.O;América Futebol Clube (Teófilo Otoni)
minas_gerais;ARAGUARI;Araguari Atlético Clube
minas_gerais;ARAXÁ;Araxá Esporte Clube
minas_gerais;ATHLETIC;Athletic Club
minas_gerais;ATHLETIC CLUB;Athletic Club
minas_gerais;ATL. TRÊS CORAÇÕES;Atlético Clube Três Corações
minas_gerais;ATLHETIC CE;Athletic Club
minas_gerais;ATLÉTICO MINEIRO;Clube Atlético Mineiro
minas_gerais;ATLÉTICO PATROCINENSE;Clube Atlético Patrocinense
minas_gerais;AYMORÉS;Clube Atlético Aymorés
minas_gerais;BETIM FUTEBOL;Betim Futebol
minas_gerais;BETIS;Betis Futebol Clube
minas_gerais;BOA;Boa Esporte Clube
minas_gerais;BOA ESPORTE;Boa Esporte Clube
minas_gerais;BOSTON CITY BRASIL;Boston City Futebol Clube Brasil
minas_gerais;CA PATROCINENSE;Clube Atlético Patrocinense
minas_gerais;CALDENSE;Associação Atlética Caldense
minas_gerais;CAP DE UBERLÂNDIA;Clube Atlético Portal
minas_gerais;COIMBRA;Coimbra Esporte Clube
minas_gerais;COIMBRA-MG B;Coimbra Esporte Clube
minas_gerais;CONTAGEM;Contagem Esporte Clube
minas_gerais;CRUZEIRO;Cruzeiro Esporte Clube
minas_gerais;DEMOCRATA;Esporte Clube Democrata
minas_gerais;ESSUBE;ESSUBE
minas_gerais;FIGUEIRENSE;Figueirense Esporte Clube
minas_gerais;GUARANI;Guarani Esporte Clube
minas_gerais;INTER DE MINAS;Associação Atlética Internacional de Minas Gerais
minas_gerais;INTER SÃO GOTARDO;Esporte Clube Internacional
minas_gerais;IPATINGA;Ipatinga Futebol Clube
minas_gerais;ITABIRITO;Itabirito Futebol Clube
minas_gerais;JUVENTUS DE MINAS NOVAS;JUVENTUS DE MINAS NOVAS
minas_gerais;MAMORÉ;Esporte Clube Mamoré
minas_gerais;MANCHESTER FUTEBOL;Manchester Futebol
minas_gerais;NACIONAL ATL. MURIAÉ;Nacional Atlético Clube
minas_gerais;NACIONAL UBERABA;Nacional Futebol Clube
minas_gerais;NORTH ESPORTE CLUBE;North Esporte Clube
minas_gerais;NOVO ESPORTE;Novo Esporte Clube Ipatinga
minas_gerais;PASSOS;Esporte Clube Passos
minas_gerais;PATROCINENSE;Clube Atlético Patrocinense
minas_gerais;PIRAPORA;Pirapora Futebol Clube
minas_gerais;POUSO ALEGRE;Pouso Alegre Futebol Clube
minas_gerais;POÇOS DE CALDAS;Poços de Caldas Futebol Clube
minas_gerais;SANTARRITENSE;Associação Esportiva Santarritense
minas_gerais;SERRANENSE;Esporte Clube Serranense
minas_gerais;SOCIAL;Social Futebol Clube
minas_gerais;TOMBENSE;Tombense Futebol Clube
minas_gerais;TUPI;Tupi Football Club
minas_gerais;TUPYNAMBÁS;Tupynambás Futebol Clube
minas_gerais;UBERABA;Uberaba Sport Club
minas_gerais;UBERLÂNDIA;Uberlândia Esporte Clube
minas_gerais;UNAÍ;Unaí Esporte Clube
minas_gerais;UNIÃO LUZIENSE;União Luziense Esporte Clube
minas_gerais;URT;União Recreativa dos Trabalhadores
minas_gerais;VALERIODOCE;Valeriodoce Esporte Clube
minas_gerais;VARGINHA;Varginha Esporte Clube
minas_gerais;VILLA NOVA;Villa Nova Atlético Clube
minas_gerais;VILLA REAL;Villa Real Esporte Clube
para;AGUIA DE MARABA;Águia de Marabá Futebol Clube
para;ALTAMIRA;Altamira Esporte Clube
para;AMAZÔNIA INDEPENDENTE;Amazônia Independente
para;ATLÉTICO PARAENSE;Atlético Paraense
para;BELENENSE;Belenense
para;BRAGANTINO;Bragantino Clube do Pará
para;CAETÉ;Caeté
para;CAMETÁ;Cametá Sport Club
para;CANAÃ;Canaã Esporte Clube
para;CAPITÃO POÇO;CAPITÃO POÇO
para;CARAJÁS;Carajás Esporte Clube
para;CASTANHAL;Castanhal Esporte Clube
para;ESMAC;Escola Superior Madre Celeste
para;FONTE NOVA;Fonte Nova Esporte Clube
para;GAVIÃO KYIKATEJÊ;Gavião Kyikatejê
para;GRÊMIO CARAJÁS;Grêmio Carajás
para;INDEPENDENTE;Independente Atlético Clube
para;INDEPENDENTE TUCURUÍ;Independente Atlético Clube
para;ITUPIRANGA;Esporte Clube Itupiranga
para;IZABELENSE;Sport Club Izabelense
para;MARAJÓ;Marajó Esporte Clube
para;PARAENSE;Paraense Sport Club
para;PARAGOMINAS;Paragominas Futebol Clube
para;PARAUAPEBAS;Parauapebas Futebol Clube
para;PAYSANDU;Paysandu Sport Club
para;PEDREIRA;Pedreira Esporte Clube
para;PINHEIRENSE;Pinheirense Esporte Clube
para;REMO;Clube do Remo
para;SANTA ROSA;Associação Atlética Santa Rosa
para;SANTOS;Santos Futebol Clube
para;SPORT BELÉM;Sport Club Belém
para;SPORTING MARACANÃ;Sporting Maracanã Esporte Clube
para;SÃO FRANCISCO;São Francisco Futebol Clube
para;SÃO RAIMUNDO;São Raimundo Esporte Clube
para;TAPAJÓS;Tapajós Esporte Clube
para;TESLA;Tesla Futebol Clube
para;TIRADENTES;Associação Atlética Tiradentes
para;TUNA LUSO;Tuna Luso Brasileira
para;UNIÃO PARAENSE;União Paraense
para;URUMAJÓ;Urumajó
para;VILA RICA;Vila Rica
para;VÊNUS;Vênus
para;ÁGUIA;Águia de Marabá
paraiba;ATLÉTICO;Atlético Cajazeirense de Desportos
paraiba;ATLÉTICO DE CAJAZEIRAS;Atlético Cajazeirense de Desportos
paraiba;AUTO ESPORTE;Auto Esporte Clube
paraiba;BOTAFOGO;Botafogo Futebol Clube
paraiba;BOTAFOGO PB;Botafogo Futebol Clube
paraiba;CAMPINENSE;Campinense Clube
paraiba;CONFIANÇA;Associação Desportiva Confiança
paraiba;CRUZEIRO;Cruzeiro de Itaporanga
paraiba;CSP;Centro Sportivo Paraibano
paraiba;DESPORTIVA GUARABIRA;Desportiva Guarabira
paraiba;ESPORTE;Esporte Clube de Patos
paraiba;FEMAR;Femar
paraiba;INTERNACIONAL;Internacional Esporte Clube
paraiba;MIRAMAR;Miramar Esporte Clube
paraiba;NACIONAL;Nacional Atlético Clube
paraiba;PERILIMA;Desportiva Perilima de Futebol Ltda
paraiba;PICUIENSE;Clube Atlético Picuiense
paraiba;POMBAL;Pombal Esporte Clube
paraiba;QUEIMADENSE;Associação Desportiva Queimadense
paraiba;SABUGY;Sabugy Futebol Clube
paraiba;SERRA BRANCA;Serra Branca Esporte Clube
paraiba;SERRANO;Serrano Futebol Clube
paraiba;SOUSA;Sousa Esporte Clube
paraiba;SPARTAX;Spartax Sport Club
paraiba;SPORT LAGOA SECA;Sport Club Lagoa Seca
paraiba;SÃO PAULO CRYSTAL;São Paulo Crystal
paraiba;TREZE;Treze
parana;ANDRAUS;Andraus Brasil
parana;APUCARANA SPORTS;Apucarana Sports
parana;ARAPONGAS;Arapongas Esporte Clube
parana;ARAUCÁRIA;Araucária Esporte Clube
parana;ARUKO;Galo Maringá
parana;ATHLETICO PARANAENSE;Athletico Paranaense
parana;ATHLETICO PARANAENSE B;Athletico Paranaense
parana;AZURIZ;Azuriz
parana;AZURIZ FUTEBOL;Azuriz
parana;BATEL;Batel
parana;CAMBÉ;Cambé Atlético Clube
parana;CAMPO MOURÃO;Sport Club Campo Mourão
parana;CASCAVEL;Futebol Clube Cascavel
parana;CIANORTE;Cianorte Futebol Clube
parana;CITY LONDON;City London Futebol Clube
parana;CORITIBA;Coritiba Foot Ball Club
parana;CORITIBA B;Coritiba Foot Ball Club
parana;FOZ DO IGUAÇU;Foz do Iguaçu Futebol Clube
parana;GALO MARINGÁ;Galo Maringá
parana;GRECAL;Grêmio Esportivo Campo Largo
parana;GRÊMIO MARINGÁ;Grêmio de Esportes Maringá
parana;HOPE INTERNACIONAL;Hope Internacional
parana;IGUAÇU;Associação Atlética Iguaçu
parana;IRATY;Iraty Sport Club
parana;LARANJA MECÂNICA;Sport Club Laranja Mecânica
parana;LEÃO DO VALE - CIANORTE;Cianorte Futebol Clube
parana;LONDRINA;Londrina Esporte Clube
parana;MARINGÁ;Maringá Futebol Clube
parana;NACIONAL;Nacional Atlético Clube
parana;OESTE BRASIL;Oeste Brasil Futebol Clube
parana;OPERÁRIO;Operário Ferroviário Esporte Clube
parana;OPERÁRIO FERROVIÁRIO;Operário Ferroviário Esporte Clube
parana;PARANAVAÍ;Atlético Clube Paranavaí
parana;PARANÁ;Paraná Clube
parana;PATRIOTAS;Patriotas Futebol Clube
parana;PORTUGUESA LONDRINENSE;Associação Portuguesa Londrinense
parana;PRUDENTÓPOLIS;Prudentópolis Futebol Clube
parana;PSTC;Paraná Soccer Technical Center
parana;RIO BRANCO;Rio Branco Sport Club
parana;RIO BRANCO SPORT CLUB;Rio Branco Sport Club
parana;ROLÂNDIA;Rolândia Esporte Clube
parana;SÃO JOSEENSE;Independente São Joseense
parana;SÃOJOSEENSE;Independente São Joseense
parana;TOLEDO;Toledo Esporte Clube
parana;UNIÃO BELTRÃO;União Francisco Beltrão
parana;VERÊ;Verê Futebol Clube
pernambuco;1° DE MAIO;1º de Maio Esporte Clube
pernambuco;AFOGADOS;Afogados da Ingazeira Futebol Clube
pernambuco;AFOGADOS DA INGAZEIRA;Afogados da Ingazeira Futebol Clube
pernambuco;AMÉRICA;América Futebol Clube
pernambuco;ATLÉTICO PERNAMBUCANO;Clube Atlético Pernambucano
pernambuco;BARREIROS;Barreiros Futebol Clube
pernambuco;BELO JARDIM;Belo Jardim Futebol Clube
pernambuco;CABENSE;Associação Atlética Cabense
pernambuco;CARUARU CITY;Caruaru City Sport Club
pernambuco;CENTRAL;Central Sport Club
pernambuco;CENTRO LIMOEIRENSE;Centro Limoeirense de Futebol
pernambuco;CHÃ GRANDE;Chã Grande Futebol Clube
pernambuco;DECISÃO;Decisão Futebol Clube
pernambuco;FERROVIÁRIO DO CABO;Ferroviário Esporte Clube do Cabo
pernambuco;FLAMENGO;Flamengo de Arcoverde
pernambuco;IPOJUCA;Ipojuca Atlético Clube
pernambuco;JAGUAR;Jaguar Esporte Clube
pernambuco;MAGUARY;Associação Atlética Maguary
pernambuco;NÁUTICO;Clube Náutico Capibaribe
pernambuco;PESQUEIRA;Pesqueira Futebol Clube
pernambuco;PETROLINA;Petrolina Social Futebol Clube
pernambuco;PORTO;Clube Atlético do Porto
