estado;clube;clube_canonical;cidade;latitude;longitude;estadio
amapa;RENOVAÇÃO;Renovação Esporte Clube;Macapá;0.0349;-51.0694;Estádio Milton de Souza Corrêa
amapa;SANTANA;Santana Esporte Clube;Santana;-0.0558;-51.1794;Estádio Municipal de Santana
amapa;SANTOS;Santos-AP;Macapá;0.0349;-51.0694;Estádio Milton de Souza Corrêa
amapa;SÃO JOSÉ;São José-AP;Macapá;0.0349;-51.0694;Estádio Milton de Souza Corrêa
amapa;SÃO PAULO;São Paulo-AP;Macapá;0.0349;-51.0694;Estádio Milton de Souza Corrêa
amapa;TREM;Trem Desportivo Clube;Macapá;0.0349;-51.0694;Estádio Milton de Souza Corrêa
amapa;YPIRANGA;Ypiranga Clube;Macapá;0.0349;-51.0694;Estádio Milton de Souza Corrêa
amazonas;ALVORADA;Alvorada Esporte Clube;Manaus;-3.119;-60.0217;Estádio Carlos Zamith
amazonas;AMAZONAS;Amazonas Futebol Clube;Manaus;-3.119;-60.0217;Arena da Amazônia
amazonas;ATLÉTICO AMAZONENSE;Atlético Amazonense;Manaus;-3.119;-60.0217;Estádio Ismael Benigno
amazonas;CDC DA AMAZÔNIA;CDC Manicoré;Manacapuru;-3.2958;-60.6214;Estádio Gilberto Mestrinho
amazonas;CLIPER;Cliper;Manaus;-3.119;-60.0217;Estádio Ismael Benigno
amazonas;FAST CLUBE;Nacional Fast Clube;Manaus;-3.119;-60.0217;Estádio Ismael Benigno
amazonas;IRANDUBA;Iranduba da Amazônia;Iranduba;-3.2725;-60.1889;Estádio Álvaro Maranhão
amazonas;ITACOATIARA;Itacoatiara Esporte Clube;Itacoatiara;-3.1431;-58.4442;Estádio Municipal Floro de Mendonça
amazonas;JC FUTEBOL CLUBE;JC Futebol Clube;Itacoatiara;-3.1431;-58.4442;Estádio Municipal Floro de Mendonça
amazonas;LIBRADE;Librade;Manaus;-3.119;-60.0217;Estádio Ismael Benigno
amazonas;MANAUARA;Manauara Esporte Clube;Manaus;-3.119;-60.0217;Estádio Carlos Zamith
amazonas;MANAUS;Manaus Futebol Clube;Manaus;-3.119;-60.0217;Arena da Amazônia
amazonas;NACIONAL;Nacional Futebol Clube;Manaus;-3.119;-60.0217;Estádio Ismael Benigno
amazonas;OPERÁRIO;Operário Esporte Clube;Manacapuru;-3.2964;-60.6214;Estádio Gilberto Mestrinho
amazonas;PARINTINS;Parintins Futebol Clube;Parintins;-2.6283;-56.7397;Estádio Francisco Garcia
amazonas;PENAROL;Penarol Atlético Clube;Itacoatiara;-3.1431;-58.4442;Estádio Floro de Mendonça
amazonas;PRINCESA;Princesa do Solimões Esporte Clube;Manacapuru;-3.2964;-60.6214;Estádio Gilberto Mestrinho
amazonas;PRINCESA DO SOLIMÕES;Princesa do Solimões Esporte Clube;Manacapuru;-3.2964;-60.6214;Estádio Gilberto Mestrinho
amazonas;RB DO NORTE;Red Bull do Norte;Manaus;-3.119;-60.0217;Estádio Carlos Zamith
amazonas;RIO NEGRO;Atlético Rio Negro Clube;Manaus;-3.119;-60.0217;Estádio Ismael Benigno
amazonas;SETE;Sete de Setembro Esporte Clube;Manaus;-3.119;-60.0217;Estádio Ismael Benigno
amazonas;SUL AMÉRICA;Sul América Esporte Clube;Manaus;-3.119;-60.0217;Estádio Ismael Benigno
amazonas;SÃO RAIMUNDO;São Raimundo Esporte Clube;Manaus;-3.119;-60.0217;Estádio Ismael Benigno
amazonas;TARUMÃ;Atlético Clube Tarumã;Manaus;-3.119;-60.0217;Estádio Ismael Benigno
bahia;ATLÉTICO;Atlético de Alagoinhas;Alagoinhas;-12.1394;-38.4217;Estádio Antônio Carneiro
bahia;BAHIA;Esporte Clube Bahia;Salvador;-12.9714;-38.5014;Arena Fonte Nova
bahia;BAHIA DE FEIRA;Associação Desportiva Bahia de Feira;Feira de Santana;-12.2669;-38.9669;Arena Cajueiro
bahia;BARCELONA DE ILHÉUS;Barcelona Futebol Clube;Ilhéus;-14.795;-39.0433;Estádio Mário Pessoa
bahia;BOTAFOGO;Botafogo Sport Club;Salvador;-12.9714;-38.5014;Estádio de Pituaçu
bahia;CAMAÇARI;Camaçari Futebol Clube;Camaçari;-12.6975;-38.3247;Estádio Armando Oliveira
bahia;CAMAÇARIENSE;Sport Club Camaçariense;Camaçari;-12.6975;-38.3247;Estádio Armando Oliveira
bahia;CANAÃ;Canaã Esporte Clube;Irecê;-11.3039;-41.8553;Estádio Municipal de Irecê
bahia;COLO COLO;Colo Colo de Futebol e Regatas;Ilhéus;-14.7935;-39.0459;Estádio Mário Pessoa
bahia;DOCE MEL;Doce Mel Esporte Clube;Ipiaú;-14.1375;-39.7375;Estádio Pedro Caetano
bahia;FEIRENSE;Associação Desportivaatlética Feirense;Feira de Santana;-12.2667;-38.9667;Estádio Joia da Princesa
bahia;FLAMENGO DE GUANAMBI;Flamengo de Guanambi;Guanambi;-14.2239;-42.7811;Estádio 2 de Julho
bahia;FLUMINENSE DE FEIRA;Fluminense de Feira Futebol Clube;Feira de Santana;-12.2667;-38.9667;Estádio Joia da Princesa
bahia;GALÍCIA;Galícia Esporte Clube;Salvador;-12.9714;-38.5014;Estádio de Pituaçu
bahia;GRAPIÚNA;Grapiúna Atlético Clube;Itabuna;-14.7892;-39.2797;Estádio Luiz Viana Filho
bahia;ITABUNA;Itabuna Esporte Clube;Itabuna;-14.7892;-39.2797;Estádio Luiz Viana Filho
bahia;JACOBINA;Jacobina Esporte Clube;Jacobina;-11.1825;-40.5086;Estádio José Rocha
bahia;JACOBINENSE;Jacobinense Esporte Clube;Jacobina;-11.1825;-40.5086;Estádio José Rocha
bahia;JACUIPENSE;Esporte Clube Jacuipense;Riachão do Jacuípe;-11.8053;-39.3786;Estádio Eliel Martins
bahia;JEQUIÉ;Associação Desportiva Jequié;Jequié;-13.8583;-40.0811;Estádio Waldomiro Borges
bahia;JUAZEIRENSE;Sociedade Desportiva Juazeirense;Juazeiro;-9.4125;-40.5033;Estádio Adauto Moraes
bahia;JUAZEIRO;Juazeiro Social Clube;Juazeiro;-9.4125;-40.5033;Estádio Adauto Moraes
bahia;LEÔNICO;Esporte Clube Leônico;Salvador;-12.9714;-38.5014;Estádio de Pituaçu
bahia;PORTELA;Portela Futebol Clube;Paulo Afonso;-9.4033;-38.2206;Estádio Álvaro de Carvalho
bahia;PORTO;Porto Sport Club;Porto Seguro;-16.4497;-39.0647;Estádio Municipal Agnaldo Bento dos Santos
bahia;SSA;SSA Futebol Clube;Salvador;-12.9714;-38.5014;Estádio de Pituaçu
bahia;TEIXEIRA DE FREITAS;Porto Sport Club;Teixeira de Freitas;-17.5386;-39.7386;Estádio Tomatão
bahia;UNIRB;UNIRB Futebol Clube;Alagoinhas;-12.1392;-38.4214;Estádio Carneirão
bahia;VITÓRIA;Esporte Clube Vitória;Salvador;-12.9714;-38.5014;Estádio Manoel Barradas
bahia;VITÓRIA DA CONQUISTA;Esporte Clube Primeiro Passo Vitória da Conquista;Vitória da Conquista;-14.8614;-40.8392;Estádio Lomanto Júnior
bahia;YPIRANGA;Esporte Clube Ypiranga;Salvador;-12.9714;-38.5014;Estádio de Pituaçu
ceara;ALIANÇA;Aliança Atlético Clube;Horizonte;-4.1025;-38.5028;Estádio Domingão
ceara;ANJOS DO CÉU;Anjos do Céu;Fortaleza;-3.7319;-38.5267;Estádio Presidente Vargas
ceara;ARSENAL CARIDADE;Arsenal de Caridade;Caridade;-4.2586;-39.1733;Estádio Municipal de Caridade
ceara;ATLÉTICO;Atlético Cearense;Fortaleza;-3.7319;-38.5267;Estádio Presidente Vargas
ceara;ATLÉTICO CEARENSE;Atlético Cearense;Fortaleza;-3.7319;-38.5267;Estádio Presidente Vargas
ceara;BARBALHA;Barbalha Futebol Clube;Barbalha;-7.3117;-39.3033;Estádio Lírio Callou
ceara;CALOUROS DO AR;Calouros do Ar Futebol Clube;Fortaleza;-3.7319;-38.5267;Estádio Presidente Vargas
ceara;CAMPO GRANDE;Campo Grande Esporte Clube;Juazeiro do Norte;-7.2297;-39.3225;Estádio Mauro Sampaio
ceara;CARIRI;Cariri Futebol Clube;Juazeiro do Norte;-7.2297;-39.3225;Estádio Mauro Sampaio
ceara;CAUCAIA;Caucaia Esporte Clube;Caucaia;-3.7361;-38.6531;Estádio Raimundo de Oliveira
ceara;CEARÁ;Ceará Sporting Club;Fortaleza;-3.7319;-38.5267;Arena Castelão
ceara;CEARÁ B;Ceará Sporting Club;Fortaleza;-3.7319;-38.5267;Cidade Vozão
ceara;CRATEÚS;Crateús Esporte Clube;Crateús;-5.1786;-40.6775;Estádio Municipal Helvídio Bezerra de Carvalho
ceara;CRATO;Crato Esporte Clube;Crato;-7.2333;-39.4167;Estádio Municipal Governador Virgílio Távora
ceara;ESPORTE LIMOEIRO;Esporte Limoeiro;Limoeiro do Norte;-5.1478;-38.0975;Estádio Municipal José Bandeira de Lavor
ceara;FERROVIÁRIO;Ferroviário Atlético Clube;Fortaleza;-3.7172;-38.5433;Estádio Presidente Vargas
ceara;FLORESTA;Floresta Esporte Clube;Fortaleza;-3.7172;-38.5433;Estádio Presidente Vargas
ceara;FORTALEZA;Fortaleza Esporte Clube;Fortaleza;-3.7172;-38.5433;Arena Castelão
ceara;FORTALEZA B;Fortaleza Esporte Clube;Fortaleza;-3.7319;-38.5267;Estádio Presidente Vargas
ceara;GRÊMIO PAGUE MENOS;Grêmio Pague Menos;Fortaleza;-3.7319;-38.5267;Estádio Presidente Vargas
ceara;GUARANI DE JUAZEIRO;Guarani de Juazeiro;Juazeiro do Norte;-7.2139;-39.3139;Estádio Mauro Sampaio
ceara;GUARANY;Guarany de Sobral;Sobral;-3.6828;-40.3528;Estádio Plácido Aderaldo Castelo
ceara;GUARANY DE SOBRAL;Guarany de Sobral;Sobral;-3.6828;-40.3528;Estádio Plácido Aderaldo Castelo
ceara;HORIZONTE;Horizonte Futebol Clube;Horizonte;-4.1036;-38.4986;Estádio Domingão
ceara;ICASA;Associação Desportiva Recreativa Cultural Icasa;Juazeiro do Norte;-7.2133;-39.3153;Estádio Mauro Sampaio
ceara;IGUATU;Associação Desportiva Iguatu;Iguatu;-6.3725;-39.3014;Estádio João Elmo Moreno Cavalcante
ceara;ITAPIPOCA;Itapipoca Esporte Clube;Itapipoca;-3.4917;-39.5758;Estádio Perilo Teixeira
ceara;ITAREMA;Itarema Esporte Clube;Itarema;-2.9258;-39.9136;Estádio Dedezão
ceara;MARACANÃ;Maracanã Esporte Clube;Maracanaú;-3.8775;-38.6236;Estádio Municipal Raimundo de Oliveira
ceara;MARANGUAPE;Maranguape Futebol Clube;Maranguape;-3.8867;-38.6717;Estádio Francisco Cardoso de Moraes
ceara;PACAJUS;Pacajus Esporte Clube;Pacajus;-4.1758;-38.4728;Estádio João Ronaldo
ceara;PACATUBA;Pacatuba Esporte Clube;Pacatuba;-3.9833;-38.6211;Estádio Municipal de Pacatuba
ceara;QUIXADÁ;Quixadá Futebol Clube;Quixadá;-4.9711;-39.0153;Estádio Abilhão
ceara;TERRA E MAR;Terra e Mar Clube;Fortaleza;-3.7172;-38.5433;Estádio Presidente Vargas
ceara;TIANGUÁ;Tianguá Esporte Clube;Tianguá;-3.7333;-40.9722;Estádio Municipal Tancredo Neves
ceara;TIRADENTES;Associação Esportiva Tiradentes;Fortaleza;-3.7172;-38.5433;Estádio Presidente Vargas
ceara;TIROL;Tirol;Fortaleza;-3.71722;-38.54333;Estádio Presidente Vargas
ceara;UNIÃO;União;Fortaleza;-3.71722;-38.54333;Estádio Presidente Vargas
ceara;VILA REAL;Vila Real;Fortaleza;-3.71722;-38.54333;Estádio Presidente Vargas
distrito_federal;ARUC;ARUC;Brasília;-15.77972;-47.92972;Estádio Defelê
distrito_federal;BOLAMENSE;Bolamense;Samambaia;-15.88583;-48.05389;Estádio Rorizão
distrito_federal;BRASILIENSE;Brasiliense;Taguatinga;-15.82667;-48.06083;Estádio Serejão
distrito_federal;BRASÍLIA;Brasília Futebol Clube;Brasília;-15.7939;-47.8828;Estádio Nacional de Brasília Mané Garrincha
distrito_federal;BRAZLÂNDIA;Associação Atlética Brazlândia;Brazlândia;-15.6736;-48.2036;Estádio Chapadinha
distrito_federal;CANAÃ;Canaã Esporte Clube;Paranoá;-15.7733;-47.7619;Estádio JK
distrito_federal;CANDANGO;Candango Futebol Clube;Brasília;-15.7939;-47.8828;Estádio Nacional de Brasília Mané Garrincha
distrito_federal;CAPITAL;Capital Clube de Futebol;Brasília;-15.7939;-47.8828;Estádio JK
distrito_federal;CAPITAL CF;Capital Clube de Futebol;Brasília;-15.7939;-47.8828;Estádio JK
distrito_federal;CEILANDENSE;Clube Esporte Ceilandense;Ceilândia;-15.8267;-48.1033;Estádio Maria de Lourdes Abadia
distrito_federal;CEILÂNDIA;Ceilândia Esporte Clube;Ceilândia;-15.8267;-48.1033;Estádio Maria de Lourdes Abadia
distrito_federal;CRUZEIRO;Cruzeiro Esporte Clube;Cruzeiro;-15.7939;-47.9575;Estádio Nacional de Brasília Mané Garrincha
distrito_federal;GAMA;Sociedade Esportiva do Gama;Gama;-16.0153;-48.0653;Estádio Walmir Campelo Bezerra
distrito_federal;LEGIÃO;Legião Futebol Clube;Brasília;-15.7939;-47.8828;Estádio Nacional de Brasília Mané Garrincha
distrito_federal;PARANOÁ;Paranoá Esporte Clube;Paranoá;-15.8111;-47.7333;Estádio JK
distrito_federal;PLANALTINA;Planaltina Esporte Clube;Planaltina;-15.6236;-47.6733;Estádio Adonir Guimarães
distrito_federal;REAL BRASÍLIA;Real Brasília Futebol Clube;Brasília;-15.7939;-47.8828;Estádio Defelê
distrito_federal;RIACHO CITY;Riacho City Futebol Clube;Riacho Fundo;-15.8833;-48.0167;Estádio Rorizão
distrito_federal;SAMAMBAIA;Samambaia Futebol Clube;Samambaia;-15.8786;-48.0506;Estádio Rorizão
distrito_federal;SANTA MARIA;Sociedade Esportiva Santa Maria;Santa Maria;-15.9967;-48.0267;Estádio Serra do Lago
distrito_federal;SESP SAMAMBAENSE;SESP Samambaense;Samambaia;-15.8786;-48.0506;Estádio Rorizão
distrito_federal;SOBRADINHO;Sobradinho Esporte Clube;Sobradinho;-15.6533;-47.7975;Estádio Augustinho Lima
distrito_federal;TAGUATINGA;Taguatinga Esporte Clube;Taguatinga;-15.8267;-48.0619;Estádio Elmo Serejo Farias
espirito_santo;ASTER BRASIL;Aster Brasil Futebol Clube;Vitória;-20.3155;-40.3128;Estádio Kleber Andrade
espirito_santo;AT. ITAPEMIRIM;Atlético Itapemirim;Itapemirim;-20.8433;-40.8356;Estádio José Olívio Soares
espirito_santo;CAPIXABA;Capixaba Sporting Club;Vitória;-20.3155;-40.3128;Estádio Kleber Andrade
espirito_santo;CASTELO;Castelo Futebol Clube;Castelo;-20.6025;-41.1833;Estádio Emílio Nemer
espirito_santo;CTE COLATINA;CTE Colatina;Colatina;-19.5386;-40.6275;Estádio Justiniano de Melo e Silva
espirito_santo;DESPORTIVA FERROVIÁRIA;Desportiva Ferroviária;Cariacica;-20.3261;-40.4217;Estádio Engenheiro Araripe
espirito_santo;ESTRELA DO NORTE;Estrela do Norte;Cachoeiro de Itapemirim;-20.8475;-41.1119;Estádio Mário Monteiro
espirito_santo;FORTE;Forte;Vitória;-20.3155;-40.3128;Estádio Salvador Costa
espirito_santo;GEL;GEL;Serra;-20.2417;-40.3375;Estádio Robertão
espirito_santo;GÁLATAS;Gálatas;Vitória;-20.3155;-40.3128;Estádio Salvador Costa
espirito_santo;JAGUARÉ;Jaguaré Esporte Clube;Jaguaré;-18.9056;-40.0817;Estádio Conilon
espirito_santo;LINHARES;Linhares Futebol Clube;Linhares;-19.3911;-40.0722;Estádio Joaquim Calmon
espirito_santo;NOVA VENÉCIA;Nova Venécia Futebol Clube;Nova Venécia;-18.7056;-40.3933;Estádio Zenor Pedrosa Rocha
espirito_santo;PINHEIROS;Pinheiros Futebol Clube;Pinheiros;-18.4033;-40.2333;Estádio João Soares de Moura Filho
espirito_santo;PORTO VITÓRIA;Porto Vitória Futebol Clube;Vitória;-20.3155;-40.3128;Estádio Kleber Andrade
espirito_santo;REAL NOROESTE;Real Noroeste Capixaba Futebol Clube;Águia Branca;-18.9817;-40.7333;Estádio José Olímpio da Rocha
espirito_santo;RIO BRANCO;Rio Branco Atlético Clube;Vitória;-20.3155;-40.3128;Estádio Kleber Andrade
espirito_santo;RIO BRANCO - VN;Rio Branco de Venda Nova;Venda Nova do Imigrante;-20.3225;-41.1353;Estádio Olímpio Perim
espirito_santo;RIO BRANCO DE VENDA NOVA;Rio Branco de Venda Nova;Venda Nova do Imigrante;-20.3225;-41.1353;Estádio Olímpio Perim
espirito_santo;SERRA;Serra Futebol Clube;Serra;-20.2417;-40.3083;Estádio Robertão
espirito_santo;SPORT CAPIXABA;Sport Clube Capixaba;Serra;-20.2417;-40.3083;Estádio Robertão
espirito_santo;SÃO MATEUS;Associação Atlética São Mateus;São Mateus;-18.7153;-39.8589;Estádio Sernamby
espirito_santo;TUPY;Tupy Futebol Clube;Vila Velha;-20.3297;-40.2925;Estádio Gil Bernardes
espirito_santo;VILAVELHENSE;Vilavelhense Futebol Clube;Vila Velha;-20.3297;-40.2925;Estádio Kleber Andrade
espirito_santo;VITÓRIA;Vitória Futebol Clube;Vitória;-20.3155;-40.3128;Estádio Salvador Costa
goias;ABD;Associação Beneficente e Desportiva;Goiânia;-16.6869;-49.2648;Estádio Olímpico Pedro Ludovico
goias;ABECAT OUVIDORENSE;Abecat Ouvidorense;Ouvidor;-18.1558;-47.8667;Estádio Luiz Benedito
goias;AMÉRICA;América Futebol Clube;Morrinhos;-17.7317;-49.1022;Estádio João Vilela
goias;ANAPOLINA;Associação Atlética Anapolina;Anápolis;-16.3286;-48.9533;Estádio Jonas Duarte
goias;ANÁPOLIS;Anápolis Futebol Clube;Anápolis;-16.3286;-48.9533;Estádio Jonas Duarte
goias;APARECIDA;Aparecida Esporte Clube;Aparecida de Goiânia;-16.8233;-49.2442;Estádio Annibal Batista de Toledo
goias;APARECIDENSE;Associação Atlética Aparecidense;Aparecida de Goiânia;-16.8233;-49.2442;Estádio Annibal Batista de Toledo
goias;ASEEV;Associação Esportiva Evangélica;Paraúna;-16.9458;-50.4667;Estádio José Pereira de Souza
goias;ATLÉTICO GOIANIENSE;Atlético Clube Goianiense;Goiânia;-16.6869;-49.2648;Estádio Antônio Accioly
goias;BELA VISTA;Bela Vista Futebol Clube;Bela Vista de Goiás;-16.9753;-48.9556;Estádio Geraldo Felipe
goias;BOM JESUS;Bom Jesus Esporte Clube;Bom Jesus de Goiás;-17.9256;-49.6736;Estádio Gilmar Alves
goias;BOTAFOGO;Botafogo Futebol Clube;Cristalina;-16.7689;-47.6125;Estádio Municipal Salvador Amado
goias;CENTRO OESTE;Centro Oeste Futebol Clube;Senador Canedo;-16.7036;-49.0953;Estádio Plínio José de Souza
goias;CERRADO;Cerrado Esporte Clube;Aparecida de Goiânia;-16.8225;-49.2436;Estádio Annibal Batista de Toledo
goias;CRAC;Clube Recreativo e Atlético Catalano;Catalão;-18.1636;-47.9458;Estádio Genervino da Fonseca
goias;CRIXÁS;Crixás Esporte Clube;Crixás;-14.5467;-49.9733;Estádio Genervino da Fonseca
goias;FORMOSA;Bosque Formosa Esporte Clube;Formosa;-15.5389;-47.3356;Estádio Diogão
goias;GOIANÉSIA;Goianésia Esporte Clube;Goianésia;-15.3167;-49.1256;Estádio Valdeir José de Oliveira
goias;GOIATUBA;Goiatuba Esporte Clube;Goiatuba;-18.0158;-49.3553;Estádio Divino Garcia Rosa
goias;GOIÁS;Goiás Esporte Clube;Goiânia;-16.6869;-49.2647;Estádio Hailé Pinheiro
goias;GOIÂNIA;Goiânia Esporte Clube;Goiânia;-16.6869;-49.2647;Estádio Olímpico Pedro Ludovico Teixeira
goias;GRÊMIO ANÁPOLIS;Grêmio Anápolis;Anápolis;-16.3286;-48.9533;Estádio Jonas Duarte
goias;GRÊMIO VALPARAÍSO;Grêmio Valparaíso;Valparaíso de Goiás;-16.0636;-47.9753;Estádio Municipal de Valparaíso
goias;GUANABARA CITY;Guanabara City;Goiânia;-16.6869;-49.2648;Estádio Olímpico Pedro Ludovico
goias;INDEPENDENTE DE RIO VERDE;Independente de Rio Verde;Rio Verde;-17.7919;-50.9239;Estádio Mozart Veloso do Carmo
goias;INHUMAS;Inhumas;Inhumas;-16.3636;-49.5058;Estádio Zico Brandão
goias;IPORÁ;Iporá;Iporá;-16.4417;-51.1172;Estádio Francisco José Ferreira
goias;ITABERAÍ;Itaberaí Esporte Clube;Itaberaí;-16.0186;-49.8153;Estádio Rio das Pedras
goias;ITUMBIARA;Itumbiara Esporte Clube;Itumbiara;-18.4186;-49.2186;Estádio Municipal João Martins
goias;JARAGUÁ;Jaraguá Esporte Clube;Jaraguá;-15.7564;-49.3356;Estádio Amintas de Freitas
goias;JATAIENSE;Associação Atlética Jataiense;Jataí;-17.8814;-51.7142;Estádio Municipal Nelson Antônio da Silva
goias;LUZIÂNIA;Associação Atlética Luziânia;Luziânia;-16.2514;-47.9514;Estádio Municipal Zequinha Roriz
goias;MINEIROS;Mineiros Esporte Clube;Mineiros;-17.5675;-52.5511;Estádio Odilon Flores
goias;MONTE CRISTO;Monte Cristo Esporte Clube;Goiânia;-16.6809;-49.2533;Estádio Olímpico Pedro Ludovico
goias;MORRINHOS;Morrinhos Futebol Clube;Morrinhos;-17.7317;-49.1025;Estádio João Vilela
goias;PIRES DO RIO;Pires do Rio Futebol Clube;Pires do Rio;-17.2997;-48.2897;Estádio Edson Monteiro de Godoy
goias;RIO VERDE;Esporte Clube Rio Verde;Rio Verde;-17.7919;-50.9244;Estádio Mozart Veloso do Carmo
goias;RIOVERDENSE;Associação Esportiva Rioverdense;Rio Verde;-17.7919;-50.9244;Estádio Mozart Veloso do Carmo
goias;ROYAL;Royal Esporte Clube;Senador Canedo;-16.7036;-49.0953;Estádio Plínio José de Souza
goias;SANTA HELENA;Santa Helena Esporte Clube;Santa Helena de Goiás;-17.8208;-50.5975;Estádio Pedro Romualdo Cabral
goias;TRINDADE;Trindade Atlético Clube;Trindade;-16.6486;-49.4889;Estádio Abrão Manoel da Costa
goias;TUPY;Tupy de Jussara;Jussara;-15.8653;-50.8753;Estádio Geraldo Rodrigues
goias;UNIÃO INHUMAS;União Inhumas Esporte Clube;Inhumas;-16.3658;-49.5067;Estádio Zico Brandão
goias;URUAÇU;Uruaçu Futebol Clube;Uruaçu;-14.5225;-49.1417;Estádio Serra Grande
