clube_id;lat;lon;score;cluster_k2;cluster_k3;cluster_k4;clube;uf_slug;uf;pos
TREM/amapa;0.0349;-51.0694;0.0015837721550874;1;1;1;Trem;amapa;AP;10
MANAUARA/amazonas;-3.119;-60.0217;0.0014435508699926;1;1;1;Manauara;amazonas;AM;11
PRINCESA/amazonas;-3.2964;-60.6214;0.0012541813405454;1;1;1;Princesa;amazonas;AM;12
UNIÃO ATLÉTICO/tocantins;-7.1917;-48.2056;0.0012253283238104;1;1;1;União Atlético;tocantins;TO;13
CASTANHAL/para;-1.2947;-47.9175;0.001217230133028;1;1;1;Castanhal;para;PA;14
IMPERATRIZ/maranhao;-5.5264;-47.4917;0.0011833680710114;1;1;1;Imperatriz;maranhao;MA;15
CAPITAL/tocantins;-10.2128;-48.3603;0.0011577998204094;1;1;1;Capital;tocantins;TO;16
INTERPORTO/tocantins;-10.7083;-48.4175;0.0011536983790456;1;1;1;Interporto;tocantins;TO;17
MIXTO/mato_grosso;-15.5961;-56.0969;0.0011520318293092;0;1;1;Mixto;mato_grosso;MT;18
HUMAITÁ/acre;-9.5833;-67.6333;0.0011475648915781;0;1;1;Humaitá;acre;AC;19
RIO BRANCO/acre;-9.9747;-67.8076;0.0011391575558353;0;1;1;Rio Branco;acre;AC;20
NOVA MUTUM/mato_grosso;-13.8294;-56.0814;0.0011369985424231;0;1;1;Nova Mutum;mato_grosso;MT;21
NACIONAL/amazonas;-3.119;-60.0217;0.001136612165572;1;1;1;Nacional;amazonas;AM;22
LUVERDENSE/mato_grosso;-12.6058;-55.9192;0.0010670604620464;0;1;1;Luverdense;mato_grosso;MT;23
CAMETÁ/para;-2.2475;-49.4953;0.0010436816520081;1;1;1;Cametá;para;PA;24
BRUSQUE/santa_catarina;-27.1006;-48.9135;0.0046026680871067;0;2;2;Brusque;santa_catarina;SC;1
ITUANO/sao_paulo;-23.2619;-47.2972;0.0035958662671289;0;2;2;Ituano;sao_paulo;SP;2
FIGUEIRENSE/santa_catarina;-27.5949;-48.5482;0.003103792780961;0;2;2;Figueirense;santa_catarina;SC;3
YPIRANGA/rio_grande_do_sul;-27.6333;-52.2667;0.0029677242616897;0;2;2;Ypiranga;rio_grande_do_sul;RS;4
FERROVIÁRIA/sao_paulo;-21.7945;-48.1758;0.0028777776138568;0;2;2;Ferroviária;sao_paulo;SP;5
SÃO JOSÉ/rio_grande_do_sul;-30.0346;-51.2177;0.0027406223760364;0;2;2;São José;rio_grande_do_sul;RS;6
BRASIL/rio_grande_do_sul;-31.7654;-52.3376;0.0027302131367853;0;2;2;Brasil;rio_grande_do_sul;RS;7
MARINGÁ/parana;-23.421;-51.9331;0.0025142530422195;0;2;2;Maringá;parana;PR;8
CAXIAS/rio_grande_do_sul;-29.1678;-51.1794;0.002509441400312;0;2;2;Caxias;rio_grande_do_sul;RS;9
OPERÁRIO/mato_grosso_do_sul;-20.4486;-54.6291;0.0024677076809684;0;1;2;Operário;mato_grosso_do_sul;MS;10
CASCAVEL/parana;-24.9578;-53.4594;0.0019640862442997;0;2;2;Cascavel;parana;PR;11
COSTA RICA/mato_grosso_do_sul;-18.5567;-53.1111;0.0019312314485985;0;1;2;Costa Rica;mato_grosso_do_sul;MS;12
PARANÁ/parana;-25.4296;-49.2719;0.0017686069231347;0;2;2;Paraná;parana;PR;13
OESTE/sao_paulo;-23.5106;-46.8756;0.0016709952322356;0;2;2;Oeste;sao_paulo;SP;14
UNIÃO RONDONÓPOLIS/mato_grosso;-16.4683;-54.6356;0.0016227259511464;0;1;2;União Rondonópolis;mato_grosso;MT;15
CIANORTE/parana;-23.6617;-52.6036;0.0016223384022732;0;2;2;Cianorte;parana;PR;16
GRÊMIO PRUDENTE/sao_paulo;-22.1256;-51.3822;0.0014603456629844;0;2;2;Grêmio Prudente;sao_paulo;SP;17
DOURADOS/mato_grosso_do_sul;-22.2222;-54.8033;0.0014332916821922;0;2;2;Dourados;mato_grosso_do_sul;MS;18
MARCÍLIO DIAS/santa_catarina;-26.9046;-48.6667;0.0014295940067667;0;2;2;Marcílio Dias;santa_catarina;SC;19
SÃO LUIZ/rio_grande_do_sul;-28.3911;-53.9153;0.0013848137123627;0;2;2;São Luiz;rio_grande_do_sul;RS;20
CSA/alagoas;-9.6658;-35.7353;0.0046640599027259;1;0;3;Csa;alagoas;AL;1
SAMPAIO CORRÊA/maranhao;-2.5307;-44.3068;0.0043844774505501;1;0;3;Sampaio Corrêa;maranhao;MA;2
ABC/rio_grande_do_norte;-5.7945;-35.211;0.0037746585218798;1;0;3;Abc;rio_grande_do_norte;RN;3
CONFIANÇA/sergipe;-10.9167;-37.05;0.0037154451469582;1;0;3;Confiança;sergipe;SE;4
AMÉRICA/rio_grande_do_norte;-5.7945;-35.211;0.0030976833811277;1;0;3;América;rio_grande_do_norte;RN;5
BOTAFOGO/paraiba;-7.115;-34.8642;0.003080478400181;1;0;3;Botafogo;paraiba;PB;6
RETRÔ/pernambuco;-8.0153;-34.9875;0.0028292711843473;1;0;3;Retrô;pernambuco;PE;7
FERROVIÁRIO/ceara;-3.7172;-38.5433;0.0027440164513497;1;0;3;Ferroviário;ceara;CE;8
ALTOS/piaui;-5.0261;-42.4597;0.0026702634993903;1;0;3;Altos;piaui;PI;9
SANTA CRUZ/pernambuco;-8.05428;-34.8813;0.0024475131095478;1;0;3;Santa Cruz;pernambuco;PE;10
FLORESTA/ceara;-3.7172;-38.5433;0.0021652940434197;1;0;3;Floresta;ceara;CE;11
SOUSA/paraiba;-6.76056;-38.2317;0.0021197580520931;1;0;3;Sousa;paraiba;PB;12
SERGIPE/sergipe;-10.9167;-37.05;0.0021079066398839;1;0;3;Sergipe;sergipe;SE;13
ITABAIANA/sergipe;-10.6897;-37.4253;0.0019827744601874;1;0;3;Itabaiana;sergipe;SE;14
ASA/alagoas;-9.7547;-36.6575;0.0018258022397609;1;0;3;Asa;alagoas;AL;15
JUAZEIRENSE/bahia;-9.4125;-40.5033;0.001814020876917;1;0;3;Juazeirense;bahia;BA;16
JACUIPENSE/bahia;-11.8053;-39.3786;0.0017862895602499;1;0;3;Jacuipense;bahia;BA;17
CAMPINENSE/paraiba;-7.2306;-35.8814;0.0017296666542099;1;0;3;Campinense;paraiba;PB;18
LAGARTO/sergipe;-10.9167;-37.5167;0.0017053918328739;1;0;3;Lagarto;sergipe;SE;19
BAHIA DE FEIRA/bahia;-12.2669;-38.9669;0.0016754069230946;1;0;3;Bahia De Feira;bahia;BA;20
