estado;clube;clube_canonical;cidade;latitude;longitude
ceara;CEARÁ;CEARÁ;;;
ceara;CEARÁ B;CEARÁ B;;;
ceara;CRATEÚS;CRATEÚS;;;
ceara;CRATO;CRATO;;;
ceara;ESPORTE LIMOEIRO;ESPORTE LIMOEIRO;;;
ceara;FERROVIÁRIO;FERROVIÁRIO;;;
ceara;FLORESTA;FLORESTA;;;
ceara;FORTALEZA;FORTALEZA;;;
ceara;FORTALEZA B;FORTALEZA B;;;
ceara;GRÊMIO PAGUE MENOS;GRÊMIO PAGUE MENOS;;;
ceara;GUARANI DE JUAZEIRO;GUARANI DE JUAZEIRO;;;
ceara;GUARANY;GUARANY;;;
ceara;GUARANY DE SOBRAL;GUARANY DE SOBRAL;;;
ceara;HORIZONTE;HORIZONTE;;;
ceara;ICASA;ICASA;;;
ceara;IGUATU;IGUATU;;;
ceara;ITAPIPOCA;ITAPIPOCA;;;
ceara;ITAREMA;ITAREMA;;;
ceara;MARACANÃ;MARACANÃ;;;
ceara;MARANGUAPE;MARANGUAPE;;;
ceara;PACAJUS;PACAJUS;;;
ceara;PACATUBA;PACATUBA;;;
ceara;QUIXADÁ;QUIXADÁ;;;
ceara;TERRA E MAR;TERRA E MAR;;;
ceara;TIANGUÁ;TIANGUÁ;;;
ceara;TIRADENTES;TIRADENTES;;;
ceara;TIROL;TIROL;;;
ceara;UNIÃO;UNIÃO;;;
ceara;VILA REAL;VILA REAL;;;
distrito_federal;ARUC;ARUC;;;
distrito_federal;BOLAMENSE;BOLAMENSE;;;
distrito_federal;BRASILIENSE;BRASILIENSE;;;
distrito_federal;BRASÍLIA;BRASÍLIA;;;
distrito_federal;BRAZLÂNDIA;BRAZLÂNDIA;;;
distrito_federal;CANAÃ;CANAÃ;;;
distrito_federal;CANDANGO;CANDANGO;;;
distrito_federal;CAPITAL;CAPITAL;;;
distrito_federal;CAPITAL CF;CAPITAL CF;;;
distrito_federal;CEILANDENSE;CEILANDENSE;;;
distrito_federal;CEILÂNDIA;CEILÂNDIA;;;
distrito_federal;CRUZEIRO;CRUZEIRO;;;
distrito_federal;GAMA;GAMA;;;
distrito_federal;LEGIÃO;LEGIÃO;;;
distrito_federal;PARANOÁ;PARANOÁ;;;
distrito_federal;PLANALTINA;PLANALTINA;;;
distrito_federal;REAL BRASÍLIA;REAL BRASÍLIA;;;
distrito_federal;RIACHO CITY;RIACHO CITY;;;
distrito_federal;SAMAMBAIA;SAMAMBAIA;;;
distrito_federal;SANTA MARIA;SANTA MARIA;;;
distrito_federal;SESP SAMAMBAENSE;SESP SAMAMBAENSE;;;
distrito_federal;SOBRADINHO;SOBRADINHO;;;
distrito_federal;TAGUATINGA;TAGUATINGA;;;
espirito_santo;ASTER BRASIL;ASTER BRASIL;;;
espirito_santo;AT. ITAPEMIRIM;AT. ITAPEMIRIM;;;
espirito_santo;CAPIXABA;CAPIXABA;;;
espirito_santo;CASTELO;CASTELO;;;
espirito_santo;CTE COLATINA;CTE COLATINA;;;
espirito_santo;DESPORTIVA FERROVIÁRIA;DESPORTIVA FERROVIÁRIA;;;
espirito_santo;ESTRELA DO NORTE;ESTRELA DO NORTE;;;
espirito_santo;FORTE;FORTE;;;
espirito_santo;GEL;GEL;;;
espirito_santo;GÁLATAS;GÁLATAS;;;
espirito_santo;JAGUARÉ;JAGUARÉ;;;
espirito_santo;LINHARES;LINHARES;;;
espirito_santo;NOVA VENÉCIA;NOVA VENÉCIA;;;
espirito_santo;PINHEIROS;PINHEIROS;;;
espirito_santo;PORTO VITÓRIA;PORTO VITÓRIA;;;
espirito_santo;REAL NOROESTE;REAL NOROESTE;;;
espirito_santo;RIO BRANCO;RIO BRANCO;;;
espirito_santo;RIO BRANCO - VN;RIO BRANCO - VN;;;
espirito_santo;RIO BRANCO DE VENDA NOVA;RIO BRANCO DE VENDA NOVA;;;
espirito_santo;SERRA;SERRA;;;
espirito_santo;SPORT CAPIXABA;SPORT CAPIXABA;;;
espirito_santo;SÃO MATEUS;SÃO MATEUS;;;
espirito_santo;TUPY;TUPY;;;
espirito_santo;VILAVELHENSE;VILAVELHENSE;;;
espirito_santo;VITÓRIA;VITÓRIA;;;
goias;ABD;ABD;;;
goias;ABECAT OUVIDORENSE;ABECAT OUVIDORENSE;;;
goias;AMÉRICA;AMÉRICA;;;
goias;ANAPOLINA;ANAPOLINA;;;
goias;ANÁPOLIS;ANÁPOLIS;;;
goias;APARECIDA;APARECIDA;;;
goias;APARECIDENSE;APARECIDENSE;;;
goias;ASEEV;ASEEV;;;
goias;ATLÉTICO GOIANIENSE;ATLÉTICO GOIANIENSE;;;
goias;BELA VISTA;BELA VISTA;;;
goias;BOM JESUS;BOM JESUS;;;
goias;BOTAFOGO;BOTAFOGO;;;
goias;CENTRO OESTE;CENTRO OESTE;;;
goias;CERRADO;CERRADO;;;
goias;CRAC;CRAC;;;
goias;CRIXÁS;CRIXÁS;;;
goias;FORMOSA;FORMOSA;;;
goias;GOIANÉSIA;GOIANÉSIA;;;
goias;GOIATUBA;GOIATUBA;;;
goias;GOIÁS;GOIÁS;;;
goias;GOIÂNIA;GOIÂNIA;;;
goias;GRÊMIO ANÁPOLIS;GRÊMIO ANÁPOLIS;;;
goias;GRÊMIO VALPARAÍSO;GRÊMIO VALPARAÍSO;;;
goias;GUANABARA CITY;GUANABARA CITY;;;
goias;INDEPENDENTE DE RIO VERDE;INDEPENDENTE DE RIO VERDE;;;
goias;INHUMAS;INHUMAS;;;
goias;IPORÁ;IPORÁ;;;
goias;ITABERAÍ;ITABERAÍ;;;
goias;ITUMBIARA;ITUMBIARA;;;
goias;JARAGUÁ;JARAGUÁ;;;
goias;JATAIENSE;JATAIENSE;;;
goias;LUZIÂNIA;LUZIÂNIA;;;
goias;MINEIROS;MINEIROS;;;
goias;MONTE CRISTO;MONTE CRISTO;;;
goias;MORRINHOS;MORRINHOS;;;
goias;PIRES DO RIO;PIRES DO RIO;;;
goias;RIO VERDE;RIO VERDE;;;
goias;RIOVERDENSE;RIOVERDENSE;;;
goias;ROYAL;ROYAL;;;
goias;SANTA HELENA;SANTA HELENA;;;
goias;TRINDADE;TRINDADE;;;
goias;TUPY;TUPY;;;
goias;UNIÃO INHUMAS;UNIÃO INHUMAS;;;
goias;URUAÇU;URUAÇU;;;
goias;VILA NOVA;VILA NOVA;;;
maranhao;AMERICANO;AMERICANO;;;
maranhao;ARAIOSES;ARAIOSES;;;
maranhao;ATLÉTICO BACABAL;ATLÉTICO BACABAL;;;
maranhao;BACABAL;BACABAL;;;
maranhao;BALSAS;BALSAS;;;
maranhao;CHAPADINHA;CHAPADINHA;;;
maranhao;CORDINO;CORDINO;;;
maranhao;EXPRESSINHO;EXPRESSINHO;;;
maranhao;IAPE;IAPE;;;
maranhao;IMPERATRIZ;IMPERATRIZ;;;
maranhao;ITZ SPORT;ITZ SPORT;;;
maranhao;JUVENTUDE;JUVENTUDE;;;
maranhao;LAGO VERDE;LAGO VERDE;;;
maranhao;LUMINENSE;LUMINENSE;;;
maranhao;MARANHÃO;MARANHÃO;;;
maranhao;MOTO CLUB;MOTO CLUB;;;
maranhao;PINHEIRO;PINHEIRO;;;
maranhao;SABIÁ;SABIÁ;;;
maranhao;SAMPAIO CORRÊA;SAMPAIO CORRÊA;;;
maranhao;SÃO JOSÉ;SÃO JOSÉ;;;
maranhao;SÃO LUÍS;SÃO LUÍS;;;
maranhao;TUNTUM;TUNTUM;;;
maranhao;TUPAN;TUPAN;;;
maranhao;VIANA;VIANA;;;
mato_grosso;ACADEMIA;ACADEMIA;;;
mato_grosso;ARAGUAIA;ARAGUAIA;;;
mato_grosso;ATLÉTICO;ATLÉTICO;;;
mato_grosso;AÇÃO;AÇÃO;;;
mato_grosso;CACERENSE;CACERENSE;;;
mato_grosso;CAMPO NOVO;CAMPO NOVO;;;
mato_grosso;CEOV OPERÁRIO;CEOV OPERÁRIO;;;
mato_grosso;CHAPADA;CHAPADA;;;
mato_grosso;CUIABÁ;CUIABÁ;;;
mato_grosso;CUIABÁ B;CUIABÁ B;;;
mato_grosso;CÁCERES;CÁCERES;;;
mato_grosso;DOM BOSCO;DOM BOSCO;;;
mato_grosso;JUARA;JUARA;;;
mato_grosso;LUVERDENSE;LUVERDENSE;;;
mato_grosso;MIXTO;MIXTO;;;
mato_grosso;MUTUM;MUTUM;;;
mato_grosso;NOVA MUTUM;NOVA MUTUM;;;
mato_grosso;OPERÁRIO;OPERÁRIO;;;
mato_grosso;OPERÁRIO CEOV;OPERÁRIO CEOV;;;
mato_grosso;PAULISTANO;PAULISTANO;;;
mato_grosso;POCONÉ;POCONÉ;;;
mato_grosso;PRIMAVERA;PRIMAVERA;;;
mato_grosso;RONDONÓPOLIS;RONDONÓPOLIS;;;
mato_grosso;SANTA CRUZ;SANTA CRUZ;;;
mato_grosso;SINOP;SINOP;;;
mato_grosso;SORRISO;SORRISO;;;
mato_grosso;SPORT SINOP;SPORT SINOP;;;
mato_grosso;UIRAPURU;UIRAPURU;;;
mato_grosso;UNIÃO DE RONDONÓPOLIS;UNIÃO DE RONDONÓPOLIS;;;
mato_grosso;UNIÃO RONDONÓPOLIS;UNIÃO RONDONÓPOLIS;;;
mato_grosso_do_sul;7 DE SETEMBRO;7 DE SETEMBRO;;;
mato_grosso_do_sul;AQUIDAUANENSE;AQUIDAUANENSE;;;
mato_grosso_do_sul;BATAGUASSU;BATAGUASSU;;;
mato_grosso_do_sul;CEART;CEART;;;
mato_grosso_do_sul;COMERCIAL;COMERCIAL;;;
mato_grosso_do_sul;COMERCIAL DE TRÊS LAGOAS;COMERCIAL DE TRÊS LAGOAS;;;
mato_grosso_do_sul;CORUMBAENSE;CORUMBAENSE;;;
mato_grosso_do_sul;COSTA RICA;COSTA RICA;;;
mato_grosso_do_sul;COXIM;COXIM;;;
mato_grosso_do_sul;CR AQUIDAUANA;CR AQUIDAUANA;;;
mato_grosso_do_sul;DOURADOS;DOURADOS;;;
mato_grosso_do_sul;IVINHEMA;IVINHEMA;;;
mato_grosso_do_sul;MARACAJU;MARACAJU;;;
mato_grosso_do_sul;MISTO;MISTO;;;
mato_grosso_do_sul;MORENINHAS;MORENINHAS;;;
mato_grosso_do_sul;NAVIRAIENSE;NAVIRAIENSE;;;
mato_grosso_do_sul;NOVA ANDRADINA;NOVA ANDRADINA;;;
mato_grosso_do_sul;NOVOPERÁRIO;NOVOPERÁRIO;;;
mato_grosso_do_sul;NÁUTICO;NÁUTICO;;;
mato_grosso_do_sul;OPERÁRIO;OPERÁRIO;;;
mato_grosso_do_sul;PANTANAL;PANTANAL;;;
mato_grosso_do_sul;PONTAPORANENSE;PONTAPORANENSE;;;
mato_grosso_do_sul;PORTUGUESA;PORTUGUESA;;;
mato_grosso_do_sul;SERC;SERC;;;
mato_grosso_do_sul;SÃO GABRIEL;SÃO GABRIEL;;;
mato_grosso_do_sul;TAVEIRÓPOLIS;TAVEIRÓPOLIS;;;
mato_grosso_do_sul;TRÊS LAGOAS;TRÊS LAGOAS;;;
mato_grosso_do_sul;UNIÃO;UNIÃO;;;
mato_grosso_do_sul;ÁGUIA NEGRA;ÁGUIA NEGRA;;;
minas_gerais;AE PARACATU;AE PARACATU;;;
minas_gerais;AMÉRICA MINEIRO;AMÉRICA MINEIRO;;;
minas_gerais;AMÉRICA T.O;AMÉRICA T.O;;;
minas_gerais;ARAGUARI;ARAGUARI;;;
minas_gerais;ARAXÁ;ARAXÁ;;;
minas_gerais;ATHLETIC;ATHLETIC;;;
minas_gerais;ATHLETIC CLUB;ATHLETIC CLUB;;;
minas_gerais;ATL. TRÊS CORAÇÕES;ATL. TRÊS CORAÇÕES;;;
minas_gerais;ATLHETIC CE;ATLHETIC CE;;;
minas_gerais;ATLÉTICO MINEIRO;ATLÉTICO MINEIRO;;;
minas_gerais;ATLÉTICO PATROCINENSE;ATLÉTICO PATROCINENSE;;;
minas_gerais;AYMORÉS;AYMORÉS;;;
minas_gerais;BETIM FUTEBOL;BETIM FUTEBOL;;;
minas_gerais;BETIS;BETIS;;;
minas_gerais;BOA;BOA;;;
minas_gerais;BOA ESPORTE;BOA ESPORTE;;;
minas_gerais;BOSTON CITY BRASIL;BOSTON CITY BRASIL;;;
minas_gerais;CA PATROCINENSE;CA PATROCINENSE;;;
minas_gerais;CALDENSE;CALDENSE;;;
minas_gerais;CAP DE UBERLÂNDIA;CAP DE UBERLÂNDIA;;;
minas_gerais;COIMBRA;COIMBRA;;;
minas_gerais;COIMBRA-MG B;COIMBRA-MG B;;;
minas_gerais;CONTAGEM;CONTAGEM;;;
minas_gerais;CRUZEIRO;CRUZEIRO;;;
minas_gerais;DEMOCRATA;DEMOCRATA;;;
minas_gerais;ESSUBE;ESSUBE;;;
minas_gerais;FIGUEIRENSE;FIGUEIRENSE;;;
minas_gerais;GUARANI;GUARANI;;;
minas_gerais;INTER DE MINAS;INTER DE MINAS;;;
minas_gerais;INTER SÃO GOTARDO;INTER SÃO GOTARDO;;;
minas_gerais;IPATINGA;IPATINGA;;;
minas_gerais;ITABIRITO;ITABIRITO;;;
minas_gerais;JUVENTUS DE MINAS NOVAS;JUVENTUS DE MINAS NOVAS;;;
minas_gerais;MAMORÉ;MAMORÉ;;;
minas_gerais;MANCHESTER FUTEBOL;MANCHESTER FUTEBOL;;;
minas_gerais;NACIONAL ATL. MURIAÉ;NACIONAL ATL. MURIAÉ;;;
minas_gerais;NACIONAL UBERABA;NACIONAL UBERABA;;;
minas_gerais;NORTH ESPORTE CLUBE;NORTH ESPORTE CLUBE;;;
minas_gerais;NOVO ESPORTE;NOVO ESPORTE;;;
minas_gerais;PASSOS;PASSOS;;;
minas_gerais;PATROCINENSE;PATROCINENSE;;;
minas_gerais;PIRAPORA;PIRAPORA;;;
minas_gerais;POUSO ALEGRE;POUSO ALEGRE;;;
minas_gerais;POÇOS DE CALDAS;POÇOS DE CALDAS;;;
minas_gerais;SANTARRITENSE;SANTARRITENSE;;;
minas_gerais;SERRANENSE;SERRANENSE;;;
minas_gerais;SOCIAL;SOCIAL;;;
minas_gerais;TOMBENSE;TOMBENSE;;;
minas_gerais;TUPI;TUPI;;;
minas_gerais;TUPYNAMBÁS;TUPYNAMBÁS;;;
minas_gerais;UBERABA;UBERABA;;;
minas_gerais;UBERLÂNDIA;UBERLÂNDIA;;;
minas_gerais;UNAÍ;UNAÍ;;;
minas_gerais;UNIÃO LUZIENSE;UNIÃO LUZIENSE;;;
minas_gerais;URT;URT;;;
minas_gerais;VALERIODOCE;VALERIODOCE;;;
minas_gerais;VARGINHA;VARGINHA;;;
minas_gerais;VILLA NOVA;VILLA NOVA;;;
minas_gerais;VILLA REAL;VILLA REAL;;;
para;AGUIA DE MARABA;AGUIA DE MARABA;;;
para;ALTAMIRA;ALTAMIRA;;;
para;AMAZÔNIA INDEPENDENTE;AMAZÔNIA INDEPENDENTE;;;
para;ATLÉTICO PARAENSE;ATLÉTICO PARAENSE;;;
para;BELENENSE;BELENENSE;;;
para;BRAGANTINO;BRAGANTINO;;;
para;CAETÉ;CAETÉ;;;
para;CAMETÁ;CAMETÁ;;;
para;CANAÃ;CANAÃ;;;
para;CAPITÃO POÇO;CAPITÃO POÇO;;;
para;CARAJÁS;CARAJÁS;;;
para;CASTANHAL;CASTANHAL;;;
para;ESMAC;ESMAC;;;
para;FONTE NOVA;FONTE NOVA;;;
para;GAVIÃO KYIKATEJÊ;GAVIÃO KYIKATEJÊ;;;
para;GRÊMIO CARAJÁS;GRÊMIO CARAJÁS;;;
para;INDEPENDENTE;INDEPENDENTE;;;
para;INDEPENDENTE TUCURUÍ;INDEPENDENTE TUCURUÍ;;;
para;ITUPIRANGA;ITUPIRANGA;;;
para;IZABELENSE;IZABELENSE;;;
para;MARAJÓ;MARAJÓ;;;
para;PARAENSE;PARAENSE;;;
para;PARAGOMINAS;PARAGOMINAS;;;
para;PARAUAPEBAS;PARAUAPEBAS;;;
para;PAYSANDU;PAYSANDU;;;
para;PEDREIRA;PEDREIRA;;;
para;PINHEIRENSE;PINHEIRENSE;;;
para;REMO;REMO;;;
para;SANTA ROSA;SANTA ROSA;;;
para;SANTOS;SANTOS;;;
para;SPORT BELÉM;SPORT BELÉM;;;
para;SPORTING MARACANÃ;SPORTING MARACANÃ;;;
para;SÃO FRANCISCO;SÃO FRANCISCO;;;
para;SÃO RAIMUNDO;SÃO RAIMUNDO;;;
para;TAPAJÓS;TAPAJÓS;;;
para;TESLA;TESLA;;;
para;TIRADENTES;TIRADENTES;;;
para;TUNA LUSO;TUNA LUSO;;;
para;UNIÃO PARAENSE;UNIÃO PARAENSE;;;
para;URUMAJÓ;URUMAJÓ;;;
para;VILA RICA;VILA RICA;;;
para;VÊNUS;VÊNUS;;;
para;ÁGUIA;ÁGUIA;;;
paraiba;ATLÉTICO;ATLÉTICO;;;
paraiba;ATLÉTICO DE CAJAZEIRAS;ATLÉTICO DE CAJAZEIRAS;;;
paraiba;AUTO ESPORTE;AUTO ESPORTE;;;
paraiba;BOTAFOGO;BOTAFOGO;;;
paraiba;BOTAFOGO PB;BOTAFOGO PB;;;
paraiba;CAMPINENSE;CAMPINENSE;;;
paraiba;CONFIANÇA;CONFIANÇA;;;
paraiba;CRUZEIRO;CRUZEIRO;;;
paraiba;CSP;CSP;;;
paraiba;DESPORTIVA GUARABIRA;DESPORTIVA GUARABIRA;;;
paraiba;ESPORTE;ESPORTE;;;
paraiba;FEMAR;FEMAR;;;
paraiba;INTERNACIONAL;INTERNACIONAL;;;
paraiba;MIRAMAR;MIRAMAR;;;
paraiba;NACIONAL;NACIONAL;;;
paraiba;PERILIMA;PERILIMA;;;
paraiba;PICUIENSE;PICUIENSE;;;
paraiba;POMBAL;POMBAL;;;
paraiba;QUEIMADENSE;QUEIMADENSE;;;
paraiba;SABUGY;SABUGY;;;
paraiba;SERRA BRANCA;SERRA BRANCA;;;
paraiba;SERRANO;SERRANO;;;
paraiba;SOUSA;SOUSA;;;
paraiba;SPARTAX;SPARTAX;;;
paraiba;SPORT LAGOA SECA;SPORT LAGOA SECA;;;
paraiba;SÃO PAULO CRYSTAL;SÃO PAULO CRYSTAL;;;
paraiba;TREZE;TREZE;;;
parana;ANDRAUS;ANDRAUS;;;
parana;APUCARANA SPORTS;APUCARANA SPORTS;;;
parana;ARAPONGAS;ARAPONGAS;;;
parana;ARAUCÁRIA;ARAUCÁRIA;;;
parana;ARUKO;ARUKO;;;
parana;ATHLETICO PARANAENSE;ATHLETICO PARANAENSE;;;
parana;ATHLETICO PARANAENSE B;ATHLETICO PARANAENSE B;;;
parana;AZURIZ;AZURIZ;;;
parana;AZURIZ FUTEBOL;AZURIZ FUTEBOL;;;
parana;BATEL;BATEL;;;
parana;CAMBÉ;CAMBÉ;;;
parana;CAMPO MOURÃO;CAMPO MOURÃO;;;
parana;CASCAVEL;CASCAVEL;;;
parana;CIANORTE;CIANORTE;;;
parana;CITY LONDON;CITY LONDON;;;
parana;CORITIBA;CORITIBA;;;
parana;CORITIBA B;CORITIBA B;;;
parana;FOZ DO IGUAÇU;FOZ DO IGUAÇU;;;
parana;GALO MARINGÁ;GALO MARINGÁ;;;
parana;GRECAL;GRECAL;;;
parana;GRÊMIO MARINGÁ;GRÊMIO MARINGÁ;;;
parana;HOPE INTERNACIONAL;HOPE INTERNACIONAL;;;
parana;IGUAÇU;IGUAÇU;;;
parana;IRATY;IRATY;;;
parana;LARANJA MECÂNICA;LARANJA MECÂNICA;;;
parana;LEÃO DO VALE - CIANORTE;LEÃO DO VALE - CIANORTE;;;
parana;LONDRINA;LONDRINA;;;
parana;MARINGÁ;MARINGÁ;;;
parana;NACIONAL;NACIONAL;;;
parana;OESTE BRASIL;OESTE BRASIL;;;
parana;OPERÁRIO;OPERÁRIO;;;
parana;OPERÁRIO FERROVIÁRIO;OPERÁRIO FERROVIÁRIO;;;
parana;PARANAVAÍ;PARANAVAÍ;;;
parana;PARANÁ;PARANÁ;;;
parana;PATRIOTAS;PATRIOTAS;;;
parana;PORTUGUESA LONDRINENSE;PORTUGUESA LONDRINENSE;;;
parana;PRUDENTÓPOLIS;PRUDENTÓPOLIS;;;
parana;PSTC;PSTC;;;
parana;RIO BRANCO;RIO BRANCO;;;
parana;RIO BRANCO SPORT CLUB;RIO BRANCO SPORT CLUB;;;
parana;ROLÂNDIA;ROLÂNDIA;;;
parana;SÃO JOSEENSE;SÃO JOSEENSE;;;
parana;SÃOJOSEENSE;SÃOJOSEENSE;;;
parana;TOLEDO;TOLEDO;;;
parana;UNIÃO BELTRÃO;UNIÃO BELTRÃO;;;
parana;VERÊ;VERÊ;;;
pernambuco;1° DE MAIO;1° DE MAIO;;;
pernambuco;AFOGADOS;AFOGADOS;;;
pernambuco;AFOGADOS DA INGAZEIRA;AFOGADOS DA INGAZEIRA;;;
pernambuco;AMÉRICA;AMÉRICA;;;
pernambuco;ATLÉTICO PERNAMBUCANO;ATLÉTICO PERNAMBUCANO;;;
pernambuco;BARREIROS;BARREIROS;;;
pernambuco;BELO JARDIM;BELO JARDIM;;;
pernambuco;CABENSE;CABENSE;;;
pernambuco;CARUARU CITY;CARUARU CITY;;;
pernambuco;CENTRAL;CENTRAL;;;
pernambuco;CENTRO LIMOEIRENSE;CENTRO LIMOEIRENSE;;;
pernambuco;CHÃ GRANDE;CHÃ GRANDE;;;
pernambuco;DECISÃO;DECISÃO;;;
pernambuco;FERROVIÁRIO DO CABO;FERROVIÁRIO DO CABO;;;
pernambuco;FLAMENGO;FLAMENGO;;;
pernambuco;IPOJUCA;IPOJUCA;;;
pernambuco;JAGUAR;JAGUAR;;;
pernambuco;MAGUARY;MAGUARY;;;
pernambuco;NÁUTICO;NÁUTICO;;;
pernambuco;PESQUEIRA;PESQUEIRA;;;
pernambuco;PETROLINA;PETROLINA;;;
pernambuco;PORTO;PORTO;;;
